module,module_name,module_subcategory,n
M00015,"Proline biosynthesis, glutamate => proline",Arginine and proline metabolism,30
M00844,"Arginine biosynthesis, ornithine => arginine",Arginine and proline metabolism,30
M00970,"Proline degradation, proline => glutamate",Arginine and proline metabolism,30
M00022,"Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate",Aromatic amino acid metabolism,30
M00019,"Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine",Branched-chain amino acid metabolism,30
M00432,"Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate",Branched-chain amino acid metabolism,30
M00570,"Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine",Branched-chain amino acid metabolism,30
M00021,"Cysteine biosynthesis, serine => cysteine",Cysteine and methionine metabolism,30
M00045,"Histidine degradation, histidine => N-formiminoglutamate => glutamate",Histidine metabolism,30
M00018,"Threonine biosynthesis, aspartate => homoserine => threonine",Serine and threonine metabolism,30
M00020,"Serine biosynthesis, glycerate-3P => serine",Serine and threonine metabolism,30
M00621,Glycine cleavage system,Serine and threonine metabolism,30
M00096,"C5 isoprenoid biosynthesis, non-mevalonate pathway",Terpenoid backbone biosynthesis,30
M00364,"C10-C20 isoprenoid biosynthesis, bacteria",Terpenoid backbone biosynthesis,30
M00365,"C10-C20 isoprenoid biosynthesis, archaea",Terpenoid backbone biosynthesis,30
M00097,"Lycopene biosynthesis, geranylgeranyl-PP => lycopene",Terpenoid biosynthesis,30
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Central carbohydrate metabolism,30
M00002,"Glycolysis, core module involving three-carbon compounds",Central carbohydrate metabolism,30
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Central carbohydrate metabolism,30
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Central carbohydrate metabolism,30
M00005,"PRPP biosynthesis, ribose 5P => PRPP",Central carbohydrate metabolism,30
M00006,"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",Central carbohydrate metabolism,30
M00007,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",Central carbohydrate metabolism,30
M00009,"Citrate cycle (TCA cycle, Krebs cycle)",Central carbohydrate metabolism,30
M00010,"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",Central carbohydrate metabolism,30
M00011,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",Central carbohydrate metabolism,30
M00632,"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P",Other carbohydrate metabolism,30
M00855,"Glycogen degradation, glycogen => glucose-6P",Other carbohydrate metabolism,30
M00151,Cytochrome bc1 complex respiratory unit,ATP synthesis,30
M00155,"Cytochrome c oxidase, prokaryotes",ATP synthesis,30
M00157,"F-type ATPase, prokaryotes and chloroplasts",ATP synthesis,30
M00579,"Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate",Carbon fixation,30
M00549,"UDP-Glc biosynthesis, Glc => UDP-Glc",Nucleotide sugar biosynthesis,30
M00554,"UDP-Gal biosynthesis, Gal => UDP-Gal",Nucleotide sugar biosynthesis,30
M00793,"dTDP-L-Rha biosynthesis, Glc-1P => dTDP-L-Rha",Nucleotide sugar biosynthesis,30
M00909,"UDP-GlcNAc biosynthesis, prokaryotes, Fru-6P => UDP-GlcNAc",Nucleotide sugar biosynthesis,30
