key	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	function	p_C.nasorum	N_C.nasorum	p_Other	N_Other
func_dc26c7550088	30.000097928867532	4.3202448692779085e-8	5.4132668212052195e-5	Other	K01174	micrococcal nuclease [EC:3.1.31.1]	0	14	1	16
func_12e62cc20a9d	20.073529425107445	7.45209975865371e-6	0.0015562468329321831	C.nasorum,Other	K07667	two-component system, OmpR family, KDP operon response regulator KdpE	1	14	0.1875	16
func_362bd18302b7	20.073529425107445	7.45209975865371e-6	0.0015562468329321831	C.nasorum,Other	K01546	potassium-transporting ATPase potassium-binding subunit	1	14	0.1875	16
func_403fac5366e4	20.073529425107445	7.45209975865371e-6	0.0015562468329321831	C.nasorum,Other	K01548	potassium-transporting ATPase KdpC subunit	1	14	0.1875	16
func_ab6e8e194154	20.073529425107445	7.45209975865371e-6	0.0015562468329321831	C.nasorum,Other	K01547	potassium-transporting ATPase ATP-binding subunit [EC:7.2.2.6]	1	14	0.1875	16
func_f94f3a5c47d5	20.073529425107445	7.45209975865371e-6	0.0015562468329321831	C.nasorum,Other	K07646	two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]	1	14	0.1875	16
func_815724fb9f1a	19.200873083278694	1.1765956543946609e-5	0.0018428429436956376	C.nasorum,Other	K13745	L-2,4-diaminobutyrate decarboxylase [EC:4.1.1.86]	0.8571428571428571	14	0.0625	16
func_e0808c412a2c	19.200873083278694	1.1765956543946609e-5	0.0018428429436956376	C.nasorum,Other	K27501	putrescine N-hydroxylase [EC:1.14.13.252]	0.8571428571428571	14	0.0625	16
func_5d41603e1205	17.500171339480897	2.8728179315349787e-5	0.003599640868213328	C.nasorum,Other	K16301	deferrochelatase/peroxidase EfeB [EC:1.11.1.-]	1	14	0.25	16
func_bffb67bfaed3	17.500171339480897	2.8728179315349787e-5	0.003599640868213328	C.nasorum,Other	K01114	phospholipase C [EC:3.1.4.3]	1	14	0.25	16
func_28e003916851	16.475605958805524	4.9280065476455694e-5	0.0044105658601428024	C.nasorum,Other	K11741	quaternary ammonium compound-resistance protein SugE	0.07142857142857142	14	0.8125	16
func_43a527a68a4a	16.475605958805524	4.9280065476455694e-5	0.0044105658601428024	C.nasorum,Other	K11709,K11708	manganese/zinc/iron transport system permease protein	0.07142857142857142	14	0.8125	16
func_cc67f53a7e49	16.475605958805524	4.9280065476455694e-5	0.0044105658601428024	C.nasorum,Other	K11707	manganese/zinc/iron transport system substrate-binding protein	0.07142857142857142	14	0.8125	16
func_dc575bef5252	16.475605958805517	4.928006547645589e-5	0.0044105658601428024	C.nasorum,Other	K14338	cytochrome P450 / NADPH-cytochrome P450 reductase [EC:1.14.14.1 1.6.2.4]	0.9285714285714286	14	0.1875	16
func_619ec6c22050	16.08101857999862	6.0689301779362785e-5	0.0050695796753027714	C.nasorum,Other	K02598	nitrite transporter	0.14285714285714285	14	0.875	16
func_7fffe28e232e	15.197393445808256	9.683699361015397e-5	0.0063861448943959434	C.nasorum,Other	K02160	acetyl-CoA carboxylase biotin carboxyl carrier protein	1	14	0.3125	16
func_8234567492ca	15.197393445808256	9.683699361015397e-5	0.0063861448943959434	C.nasorum,Other	K01029	3-oxoacid CoA-transferase subunit B [EC:2.8.3.5]	1	14	0.3125	16
func_9776e213892c	15.197393445808256	9.683699361015397e-5	0.0063861448943959434	C.nasorum,Other	K01961	acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]	1	14	0.3125	16
func_bc3fe62366c6	15.197393445808256	9.683699361015397e-5	0.0063861448943959434	C.nasorum,Other	K02624	IclR family transcriptional regulator, pca regulon regulatory protein	1	14	0.3125	16
func_1a43293154c1	13.125496680363646	2.9130412148138055e-4	0.018250203210808492	C.nasorum,Other	K08166	MFS transporter, DHA2 family, methylenomycin A resistance protein	1	14	0.375	16
func_af3bdc9cd5fe	11.808041184012598	5.897544805088702e-4	0.033589198367164286	C.nasorum,Other	K03761	MFS transporter, MHS family, alpha-ketoglutarate permease	0.9285714285714286	14	0.3125	16
func_c3260a71e6b5	11.808041184012598	5.897544805088702e-4	0.033589198367164286	C.nasorum,Other	K01286	D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4]	0.07142857142857142	14	0.6875	16
func_282d173614f2	11.250000077594848	7.962301243049179e-4	0.03695097576866907	Other	K19147	5-methylcytosine-specific restriction enzyme subunit McrC	0	14	0.5625	16
func_5450a402815b	11.250000077594848	7.962301243049179e-4	0.03695097576866907	Other	K07452	5-methylcytosine-specific restriction enzyme B [EC:3.1.21.-]	0	14	0.5625	16
func_d18dca2f684c	11.250000077594848	7.962301243049179e-4	0.03695097576866907	Other	K03744	LemA protein	0	14	0.5625	16
func_31f223148c21	11.250000077594843	7.962301243049201e-4	0.03695097576866907	C.nasorum,Other	K03784	purine-nucleoside phosphorylase [EC:2.4.2.1]	1	14	0.4375	16
func_f4a5140c56e5	11.250000077594843	7.962301243049201e-4	0.03695097576866907	C.nasorum,Other	K08168	MFS transporter, DHA2 family, metal-tetracycline-proton antiporter	1	14	0.4375	16
func_fe95d583b8c9	10.7358188282452	0.0010508149421337126	0.04702396866048364	C.nasorum,Other	K05346	deoxyribonucleoside regulator	0.7857142857142857	14	0.1875	16
func_634570a0d589	9.209374721142611	0.002407789180630149	0.10403309804584746	C.nasorum,Other	K22107	TetR/AcrR family transcriptional regulator, cholesterol catabolism regulator	0.5714285714285714	14	0.0625	16
func_a40a99d56ec3	8.571432588820283	0.0034147836434330462	0.1258450984203755	C.nasorum	K06016	beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase [EC:3.5.1.6 3.5.1.87]	0.42857142857142855	14	0	16
func_d18ae8a40d04	8.571432588820283	0.0034147836434330462	0.1258450984203755	C.nasorum	K09693	teichoic acid transport system ATP-binding protein [EC:7.5.2.4]	0.42857142857142855	14	0	16
func_24ae19f59ef6	8.571428571381276	0.0034147911782065176	0.1258450984203755	C.nasorum,Other	K03153	glycine oxidase [EC:1.4.3.19]	0.7857142857142857	14	0.25	16
func_2f5a44125d8c	8.571428571381276	0.0034147911782065176	0.1258450984203755	C.nasorum,Other	K03154	sulfur carrier protein	0.7857142857142857	14	0.25	16
func_fd932df1b491	8.571428571381276	0.0034147911782065176	0.1258450984203755	C.nasorum,Other	K03149	thiazole synthase [EC:2.8.1.10]	0.7857142857142857	14	0.25	16
func_68195b4d0632	7.989130866632363	0.004705900024110633	0.1403926840526343	C.nasorum,Other	K21472	peptidoglycan LD-endopeptidase LytH [EC:3.4.-.-]	1	14	0.5625	16
func_a714ad4f7ebf	7.989130866632363	0.004705900024110633	0.1403926840526343	C.nasorum,Other	K21498	antitoxin HigA-1	1	14	0.5625	16
func_aa252630acdf	7.989130866632363	0.004705900024110633	0.1403926840526343	C.nasorum,Other	K14205	phosphatidylglycerol lysyltransferase [EC:2.3.2.3]	1	14	0.5625	16
func_d2a8ad694e89	7.989130866632363	0.004705900024110633	0.1403926840526343	C.nasorum,Other	K02234	cobalamin biosynthesis protein CobW	1	14	0.5625	16
func_4d2ef5bcd4ed	7.989130866632359	0.004705900024110647	0.1403926840526343	Other	K25285	iron-siderophore transport system ATP-binding protein [EC:7.2.2.-]	0	14	0.4375	16
func_98f1012b283e	7.989130866632359	0.004705900024110647	0.1403926840526343	Other	K07341	death on curing protein	0	14	0.4375	16
func_b0e808a4af49	7.989130866632359	0.004705900024110647	0.1403926840526343	Other	K28297	antitoxin RelB/F	0	14	0.4375	16
func_fbf393a9adb3	7.989130866632359	0.004705900024110647	0.1403926840526343	Other	K07025	putative hydrolase of the HAD superfamily	0	14	0.4375	16
func_aa7fecfb63ef	6.857147129065886	0.00882873984459422	0.25726537268085015	C.nasorum,Other	K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	0.6428571428571429	14	1	16
func_609ff91e2412	6.562500548711029	0.010414991447693927	0.2776592400842658	Other	K00252	glutaryl-CoA dehydrogenase [EC:1.3.8.6]	0	14	0.375	16
func_77768a1bdf0f	6.562500548711029	0.010414991447693927	0.2776592400842658	Other	K06118	UDP-sulfoquinovose synthase [EC:3.13.1.1]	0	14	0.375	16
func_142228347a40	6.562500548711027	0.010414991447693926	0.2776592400842658	C.nasorum,Other	K23775	MarR family transcriptional regulator, organic hydroperoxide resistance regulator	1	14	0.625	16
func_7082c5f3e978	6.562500548711027	0.010414991447693926	0.2776592400842658	C.nasorum,Other	K07397	putative redox protein	1	14	0.625	16
func_dd772902c0e0	6.466839225635116	0.01099058336088181	0.28690001981635227	C.nasorum,Other	K28144	antitoxin VapB24/25/29/31/33/37/38/39/41/43/44/48	0.7142857142857143	14	0.25	16
func_4477637d43ac	5.662167437436991	0.017334688281977317	0.44288846316934977	C.nasorum,Other	K14059	integrase	0.8571428571428571	14	0.4375	16
func_23de7490efe4	5.5935636688590655	0.018026585492128364	0.44288846316934977	C.nasorum,Other	K05556	ketoreductase RED1 [EC:1.1.1.-]	0.42857142857142855	14	0.0625	16
func_9a97510cbee7	5.5935636688590655	0.018026585492128364	0.44288846316934977	C.nasorum,Other	K08221	MFS transporter, ACDE family, multidrug resistance protein	0.42857142857142855	14	0.0625	16
func_63282aa9833c	5.274728521926381	0.021637161695574888	0.44353703235251224	C.nasorum	K15973	MarR family transcriptional regulator, 2-MHQ and catechol-resistance regulon repressor	0.2857142857142857	14	0	16
func_86bbf24c7a4c	5.274728521926381	0.021637161695574888	0.44353703235251224	C.nasorum	K18199	cyclohexyl-isocyanide hydratase [EC:4.2.1.103]	0.2857142857142857	14	0	16
func_e2014638a204	5.274728521926381	0.021637161695574888	0.44353703235251224	C.nasorum	K01218	mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]	0.2857142857142857	14	0	16
func_3b9d662cdfc8	5.250000510084318	0.021946764569717257	0.44353703235251224	C.nasorum,Other	K18887,K18888	ATP-binding cassette, subfamily B, multidrug efflux pump	1	14	0.6875	16
func_5ff8e8e8649a	5.250000510084318	0.021946764569717257	0.44353703235251224	C.nasorum,Other	K02472	UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase [EC:1.1.1.336]	1	14	0.6875	16
func_f0e46dad83c0	5.250000510084318	0.021946764569717257	0.44353703235251224	C.nasorum,Other	K09692	teichoic acid transport system permease protein	1	14	0.6875	16
func_480b0ac38a61	5.250000510084312	0.021946764569717284	0.44353703235251224	Other	K07147	methionine sulfoxide reductase catalytic subunit [EC:1.8.-.-]	0	14	0.3125	16
func_9ae93cac6747	5.250000510084312	0.021946764569717284	0.44353703235251224	Other	K23778	TetR/AcrR family transcriptional regulator, regulator of biofilm formation and stress response	0	14	0.3125	16
func_a9673abe4396	5.250000510084312	0.021946764569717284	0.44353703235251224	Other	K15342	CRISP-associated protein Cas1	0	14	0.3125	16
func_c77e33b59243	5.250000510084312	0.021946764569717284	0.44353703235251224	Other	K05770	translocator protein	0	14	0.3125	16
func_c89d4a99b981	5.250000510084312	0.021946764569717284	0.44353703235251224	Other	K09814	hemin transport system ATP-binding protein [EC:7.6.2.-]	0	14	0.3125	16
func_6cd0164d51cd	5.129282483984333	0.023525450920788078	0.4602912468270038	C.nasorum,Other	K01154	type I restriction enzyme, S subunit [EC:3.1.21.3]	0.21428571428571427	14	0.625	16
func_1c75558e29f1	5.000005137390281	0.025347243440593185	0.4602912468270038	C.nasorum,Other	K03802	cyanophycin synthetase [EC:6.3.2.29 6.3.2.30]	0.5	14	0.125	16
func_51848a770f82	5.000005137390281	0.025347243440593185	0.4602912468270038	C.nasorum,Other	K05846	osmoprotectant transport system permease protein	0.5	14	0.125	16
func_54b56f379390	5.000005137390281	0.025347243440593185	0.4602912468270038	C.nasorum,Other	K05845	osmoprotectant transport system substrate-binding protein	0.5	14	0.125	16
func_819f424c7fe1	5.000005137390281	0.025347243440593185	0.4602912468270038	C.nasorum,Other	K03517	quinolinate synthase [EC:2.5.1.72]	0.5	14	0.125	16
func_b538a065df46	5.000005137390281	0.025347243440593185	0.4602912468270038	C.nasorum,Other	K00767	nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]	0.5	14	0.125	16
func_ba92f51bad5e	5.000005137390281	0.025347243440593185	0.4602912468270038	C.nasorum,Other	K05847	osmoprotectant transport system ATP-binding protein [EC:7.6.2.9]	0.5	14	0.125	16
func_7462e29cf0f6	4.821428571428522	0.02810804014715262	0.5031339186340319	C.nasorum,Other	K02810	sucrose PTS system EIIBCA or EIIBC component [EC:2.7.1.211]	0.7142857142857143	14	0.3125	16
func_1c6f5112ea41	4.692992372057147	0.030285860685446	0.5344814568854062	C.nasorum,Other	K12972	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]	0.6428571428571429	14	0.25	16
func_c7dea8a29ba1	4.285715069340656	0.0384339125203456	0.5992080332244428	C.nasorum,Other	K02012	iron(III) transport system substrate-binding protein	0.8571428571428571	14	0.5	16
func_0958acf8abfd	4.03846188091685	0.04447433925767997	0.5992080332244428	Other	K19046	CRISPR system Cascade subunit CasB	0	14	0.25	16
func_0acbc5424ca7	4.03846188091685	0.04447433925767997	0.5992080332244428	Other	K02564	glucosamine-6-phosphate deaminase [EC:3.5.99.6]	0	14	0.25	16
func_3ddbdc16080f	4.03846188091685	0.04447433925767997	0.5992080332244428	Other	K19124	CRISPR system Cascade subunit CasC	0	14	0.25	16
func_50fcfd1775af	4.03846188091685	0.04447433925767997	0.5992080332244428	Other	K21480	heme oxygenase (biliverdin-producing, ferredoxin) [EC:1.14.15.20]	0	14	0.25	16
func_6019ab420a13	4.03846188091685	0.04447433925767997	0.5992080332244428	Other	K25133	heme transport system permease protein	0	14	0.25	16
func_625362bd2420	4.03846188091685	0.04447433925767997	0.5992080332244428	Other	K07012	CRISPR-associated endonuclease/helicase Cas3 [EC:3.1.-.- 5.6.2.4]	0	14	0.25	16
func_675b0f6d545c	4.03846188091685	0.04447433925767997	0.5992080332244428	Other	K04074	cell division initiation protein	0	14	0.25	16
func_87fbde033d39	4.03846188091685	0.04447433925767997	0.5992080332244428	Other	K19125	CRISPR system Cascade subunit CasD	0	14	0.25	16
func_a69e3097f154	4.03846188091685	0.04447433925767997	0.5992080332244428	Other	K19126	CRISPR system Cascade subunit CasE	0	14	0.25	16
func_c5a86c4df668	4.03846188091685	0.04447433925767997	0.5992080332244428	Other	K09951	CRISPR-associated protein Cas2	0	14	0.25	16
func_c5b95b1bbbed	4.03846188091685	0.04447433925767997	0.5992080332244428	Other	K10834	heme transport system ATP-binding protein [EC:7.6.2.5]	0	14	0.25	16
func_eeb29818cbf6	4.03846188091685	0.04447433925767997	0.5992080332244428	Other	K19123	CRISPR system Cascade subunit CasA	0	14	0.25	16
func_f370672575e5	4.03846188091685	0.04447433925767997	0.5992080332244428	Other	K18831	HTH-type transcriptional regulator / antitoxin HigA	0	14	0.25	16
func_f5005bf58237	4.03846188091685	0.04447433925767997	0.5992080332244428	Other	K25132	heme transport system substrate-binding protein	0	14	0.25	16
func_279acdcd482e	4.03846188091684	0.044474339257680115	0.5992080332244428	C.nasorum,Other	K23726	Nalpha-acyl-L-glutamine aminoacylase [EC:3.5.1.133]	1	14	0.75	16
func_353ec20fec6e	4.03846188091684	0.044474339257680115	0.5992080332244428	C.nasorum,Other	K01935	dethiobiotin synthetase [EC:6.3.3.3]	1	14	0.75	16
func_3877f1601ce2	4.03846188091684	0.044474339257680115	0.5992080332244428	C.nasorum,Other	K08369	MFS transporter, putative metabolite:H+ symporter	1	14	0.75	16
func_3e8823c124e4	4.03846188091684	0.044474339257680115	0.5992080332244428	C.nasorum,Other	K00930	acetylglutamate kinase [EC:2.7.2.8]	1	14	0.75	16
func_86cc9c510d08	4.03846188091684	0.044474339257680115	0.5992080332244428	C.nasorum,Other	K00821	acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]	1	14	0.75	16
func_9a01796a8cb3	4.03846188091684	0.044474339257680115	0.5992080332244428	C.nasorum,Other	K00833	adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]	1	14	0.75	16
func_a42805f5d8cd	4.03846188091684	0.044474339257680115	0.5992080332244428	C.nasorum,Other	K01726	gamma-carbonic anhydrase [EC:4.2.1.-]	1	14	0.75	16
func_1b33094c8314	3.846525821000344	0.04984914572773763	0.664478506349524	C.nasorum,Other	K01609	indole-3-glycerol phosphate synthase [EC:4.1.1.48]	0.07142857142857142	14	0.375	16
func_e3cdbd816f10	3.8095254903267906	0.05096188582741114	0.6651587806431905	C.nasorum,Other	K25283,K25284,K23187,K23186	iron-siderophore transport system permease protein	0.7857142857142857	14	1	16
func_d814889aef93	3.809525490326787	0.05096188582741124	0.6651587806431905	C.nasorum	K03741	arsenate reductase (thioredoxin) [EC:1.20.4.4]	0.21428571428571427	14	0	16
func_2a381802ea97	3.5186721368640947	0.060681045527723014	0.7680136368306761	C.nasorum,Other	K07250	4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48]	0.42857142857142855	14	0.125	16
func_4d2a430c2fcd	3.5186721368640947	0.060681045527723014	0.7680136368306761	C.nasorum,Other	K09684	PucR family transcriptional regulator, purine catabolism regulatory protein	0.42857142857142855	14	0.125	16
func_c5ca45b760b5	3.5186721368640947	0.060681045527723014	0.7680136368306761	C.nasorum,Other	K07448	restriction system protein	0.42857142857142855	14	0.125	16
func_a724feecdf26	3.4534466967063944	0.06312001602554135	0.7830631691089438	C.nasorum,Other	K03322	manganese transport protein	0.7142857142857143	14	0.375	16
func_640a4403d1b7	3.4534466967063935	0.06312001602554136	0.7830631691089438	C.nasorum,Other	K03427	type I restriction enzyme M protein [EC:2.1.1.72]	0.2857142857142857	14	0.625	16
func_d930ec22ae3c	3.2740756790500027	0.07038256358347306	0.8646014918636444	C.nasorum,Other	K01153	type I restriction enzyme, R subunit [EC:3.1.21.3]	0.35714285714285715	14	0.6875	16
func_06aca77a1701	3.0867352717015324	0.0789330284394246	0.9330479682509344	C.nasorum,Other	K13889	glutathione transport system substrate-binding protein	0.8571428571428571	14	0.5625	16
func_952dda07808a	3.0867352717015324	0.0789330284394246	0.9330479682509344	C.nasorum,Other	K02011	iron(III) transport system permease protein	0.8571428571428571	14	0.5625	16
func_3591104b1d09	3.0867352717015315	0.07893302843942461	0.9330479682509344	C.nasorum,Other	K14699	ATP-binding cassette, subfamily B, bacterial IrtB/YbtQ [EC:7.-.-.-]	0.14285714285714285	14	0.4375	16
