MODULE	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	sample_ids	p_Other	N_Other	p_C.hallucis	N_C.hallucis
Methionine biosynthesis, aspartate => homoserine => methionine	23.07800757925749	1.5555986896616689e-6	1.0266951351767015e-4	Other	M00017	Ccu_c8Ua_181,Ccu_CTNIH19,Cmq_c19Ua_121,Cmq_KPL4083,Cmq_MSK144,Cke_CTNIH24,Cke_CTNIH27,Cke_EYE_437,Cke_FDAARGOS_1055,Cke_LK1134,Cke_YSMAA5_1_D11,Cna_KPL3649,Cna_KPL3804,Cna_KPL4035,Cna_KPL4072,Cna_MSK071,Cna_MSK185,Cna_MSK194,Ctu_DSM_44922,Ctu_KPL3807,Ctu_MSK207,Ctu_SK141,Cyo_c21Ua_68,Cyo_KPL2619,Cyo_MSK136	0.9615384615384616	26	0	4
UDP-ManNAcA biosynthesis, UDP-GlcNAc => UDP-ManNAcA	0.9230769375514606	0.33666836382167037	1	C.hallucis	M01014	Ccu_c8Ua_181,Ccu_CTNIH19,Cha_CTNIH20,Cha_CTNIH21,Cha_CTNIH22,Cha_CTNIH23,Cmq_c19Ua_121,Cke_CTNIH24,Cke_CTNIH27,Cke_EYE_437,Cke_FDAARGOS_1055,Cke_LK1134,Cke_YSMAA5_1_D11,Cna_KPL2825,Cna_KPL3649,Cna_KPL3804,Cna_KPL4035,Cna_KPL4072,Cna_MSK071,Cna_MSK185,Cna_MSK194,Ctu_DSM_44922,Ctu_KPL3807,Ctu_MSK207,Ctu_SK141	0.8076923076923077	26	1	4
Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	0.7100591805122541	0.3994241661008037	1	C.hallucis	M00016	Ccu_c8Ua_181,Ccu_CTNIH19,Cha_CTNIH20,Cha_CTNIH21,Cha_CTNIH22,Cha_CTNIH23,Cmq_c19Ua_121,Cmq_KPL4083,Cmq_MSK144,Cke_CTNIH24,Cke_CTNIH27,Cke_EYE_437,Cke_FDAARGOS_1055,Cke_LK1134,Cke_YSMAA5_1_D11,Cna_KPL2825,Cna_KPL3649,Cna_KPL3804,Cna_KPL4035,Cna_KPL4072,Cna_MSK071,Cna_MSK185,Cna_MSK194,Cyo_c21Ua_68,Cyo_KPL2619,Cyo_MSK136	0.8461538461538461	26	1	4
Ornithine biosynthesis, glutamate => ornithine	0.7100591805122541	0.3994241661008037	1	C.hallucis	M00028	Ccu_c8Ua_181,Ccu_CTNIH19,Cha_CTNIH20,Cha_CTNIH21,Cha_CTNIH22,Cha_CTNIH23,Cmq_c19Ua_121,Cmq_KPL4083,Cmq_MSK144,Cke_CTNIH24,Cke_CTNIH27,Cke_EYE_437,Cke_FDAARGOS_1055,Cke_LK1134,Cke_YSMAA5_1_D11,Cna_KPL2825,Cna_KPL3649,Cna_KPL3804,Cna_KPL4035,Cna_KPL4072,Cna_MSK071,Cna_MSK185,Cna_MSK194,Cyo_c21Ua_68,Cyo_KPL2619,Cyo_MSK136	0.8461538461538461	26	1	4
Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin	0.7100591805122538	0.3994241661008038	1	Other	M00577	Cke_CTNIH27,Cna_KPL2825,Cna_KPL4072,Cyo_KPL2619	0.15384615384615383	26	0	4
Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	0.7100591805122538	0.3994241661008038	1	Other	M00123	Cke_CTNIH27,Cna_KPL2825,Cna_KPL4072,Cyo_KPL2619	0.15384615384615383	26	0	4
CAM (Crassulacean acid metabolism), dark	0.3296704856947035	0.5658531824780584	1	Other	M00168	Cmq_c19Ua_121,Ctu_SK141	0.07692307692307693	26	0	4
Pyruvate oxidation, pyruvate => acetyl-CoA	0.23076923261718296	0.6309540398167538	1	Other	M00307	Ccu_c8Ua_181,Ccu_CTNIH19,Cha_CTNIH20,Cha_CTNIH21,Cha_CTNIH23,Cmq_c19Ua_121,Cmq_KPL4083,Cmq_MSK144,Cke_CTNIH24,Cke_CTNIH27,Cke_EYE_437,Cke_FDAARGOS_1055,Cke_LK1134,Cke_YSMAA5_1_D11,Cna_KPL4035,Cna_KPL4072,Cna_MSK071,Cna_MSK185,Cna_MSK194,Ctu_DSM_44922,Ctu_KPL3807,Ctu_MSK207,Cyo_c21Ua_68,Cyo_KPL2619,Cyo_MSK136	0.8461538461538461	26	0.75	4
Betaine biosynthesis, choline => betaine	0.15915119416819912	0.6899391967300913	1	C.hallucis	M00555	Ccu_c8Ua_181,Ccu_CTNIH19,Cha_CTNIH20,Cha_CTNIH21,Cha_CTNIH22,Cha_CTNIH23,Cmq_c19Ua_121,Cmq_KPL4083,Cmq_MSK144,Cke_CTNIH24,Cke_CTNIH27,Cke_EYE_437,Cke_FDAARGOS_1055,Cke_LK1134,Cke_YSMAA5_1_D11,Cna_KPL2825,Cna_KPL3649,Cna_KPL3804,Cna_KPL4035,Cna_KPL4072,Cna_MSK071,Cna_MSK185,Cna_MSK194,Ctu_KPL3807,Ctu_MSK207,Ctu_SK141,Cyo_c21Ua_68,Cyo_KPL2619,Cyo_MSK136	0.9615384615384616	26	1	4
C1-unit interconversion, prokaryotes	0.15915119416819912	0.6899391967300913	1	C.hallucis	M00140	Ccu_c8Ua_181,Cha_CTNIH20,Cha_CTNIH21,Cha_CTNIH22,Cha_CTNIH23,Cmq_c19Ua_121,Cmq_KPL4083,Cmq_MSK144,Cke_CTNIH24,Cke_CTNIH27,Cke_EYE_437,Cke_FDAARGOS_1055,Cke_LK1134,Cke_YSMAA5_1_D11,Cna_KPL2825,Cna_KPL3649,Cna_KPL3804,Cna_KPL4035,Cna_KPL4072,Cna_MSK071,Cna_MSK185,Cna_MSK194,Ctu_DSM_44922,Ctu_KPL3807,Ctu_MSK207,Ctu_SK141,Cyo_c21Ua_68,Cyo_KPL2619,Cyo_MSK136	0.9615384615384616	26	1	4
