MODULE	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	sample_ids	p_Other	N_Other	p_C.nasorum	N_C.nasorum
UDP-ManNAcA biosynthesis, UDP-GlcNAc => UDP-ManNAcA	5.250000510084316	0.021946764569717243	0.9784354636689613	C.nasorum	M01014	Ccu_c8Ua_181,Ccu_CTNIH19,Cha_CTNIH20,Cha_CTNIH21,Cha_CTNIH22,Cha_CTNIH23,Cmq_c19Ua_121,Cke_CTNIH24,Cke_CTNIH27,Cke_EYE_437,Cke_FDAARGOS_1055,Cke_LK1134,Cke_YSMAA5_1_D11,Cna_KPL2825,Cna_KPL3649,Cna_KPL3804,Cna_KPL4035,Cna_KPL4072,Cna_MSK071,Cna_MSK185,Cna_MSK194,Ctu_DSM_44922,Ctu_KPL3807,Ctu_MSK207,Ctu_SK141	0.6875	16	1	14
Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	4.038461880916843	0.04447433925768006	0.9784354636689613	C.nasorum	M00016	Ccu_c8Ua_181,Ccu_CTNIH19,Cha_CTNIH20,Cha_CTNIH21,Cha_CTNIH22,Cha_CTNIH23,Cmq_c19Ua_121,Cmq_KPL4083,Cmq_MSK144,Cke_CTNIH24,Cke_CTNIH27,Cke_EYE_437,Cke_FDAARGOS_1055,Cke_LK1134,Cke_YSMAA5_1_D11,Cna_KPL2825,Cna_KPL3649,Cna_KPL3804,Cna_KPL4035,Cna_KPL4072,Cna_MSK071,Cna_MSK185,Cna_MSK194,Cyo_c21Ua_68,Cyo_KPL2619,Cyo_MSK136	0.75	16	1	14
Ornithine biosynthesis, glutamate => ornithine	4.038461880916843	0.04447433925768006	0.9784354636689613	C.nasorum	M00028	Ccu_c8Ua_181,Ccu_CTNIH19,Cha_CTNIH20,Cha_CTNIH21,Cha_CTNIH22,Cha_CTNIH23,Cmq_c19Ua_121,Cmq_KPL4083,Cmq_MSK144,Cke_CTNIH24,Cke_CTNIH27,Cke_EYE_437,Cke_FDAARGOS_1055,Cke_LK1134,Cke_YSMAA5_1_D11,Cna_KPL2825,Cna_KPL3649,Cna_KPL3804,Cna_KPL4035,Cna_KPL4072,Cna_MSK071,Cna_MSK185,Cna_MSK194,Cyo_c21Ua_68,Cyo_KPL2619,Cyo_MSK136	0.75	16	1	14
CAM (Crassulacean acid metabolism), dark	1.8750000511614966	0.17090351439363774	1	Other	M00168	Cmq_c19Ua_121,Ctu_SK141	0.125	16	0	14
Methionine biosynthesis, aspartate => homoserine => methionine	1.714290151994474	0.19042969000763496	1	C.nasorum	M00017	Ccu_c8Ua_181,Ccu_CTNIH19,Cmq_c19Ua_121,Cmq_KPL4083,Cmq_MSK144,Cke_CTNIH24,Cke_CTNIH27,Cke_EYE_437,Cke_FDAARGOS_1055,Cke_LK1134,Cke_YSMAA5_1_D11,Cna_KPL3649,Cna_KPL3804,Cna_KPL4035,Cna_KPL4072,Cna_MSK071,Cna_MSK185,Cna_MSK194,Ctu_DSM_44922,Ctu_KPL3807,Ctu_MSK207,Ctu_SK141,Cyo_c21Ua_68,Cyo_KPL2619,Cyo_MSK136	0.75	16	0.9285714285714286	14
Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin	1.4886758432814908	0.222422023929012	1	C.nasorum	M00577	Cke_CTNIH27,Cna_KPL2825,Cna_KPL4072,Cyo_KPL2619	0.0625	16	0.21428571428571427	14
Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	1.4886758432814908	0.222422023929012	1	C.nasorum	M00123	Cke_CTNIH27,Cna_KPL2825,Cna_KPL4072,Cyo_KPL2619	0.0625	16	0.21428571428571427	14
Tryptophan biosynthesis, chorismate => tryptophan	1.1822663491331737	0.2768950944509853	1	Other	M00023	Ccu_c8Ua_181,Ccu_CTNIH19,Cha_CTNIH20,Cha_CTNIH21,Cha_CTNIH22,Cha_CTNIH23,Cmq_c19Ua_121,Cmq_KPL4083,Cmq_MSK144,Cke_CTNIH24,Cke_CTNIH27,Cke_EYE_437,Cke_FDAARGOS_1055,Cke_LK1134,Cke_YSMAA5_1_D11,Cna_KPL2825,Cna_KPL3649,Cna_KPL3804,Cna_KPL4035,Cna_KPL4072,Cna_MSK071,Cna_MSK185,Ctu_DSM_44922,Ctu_KPL3807,Ctu_MSK207,Ctu_SK141,Cyo_c21Ua_68,Cyo_KPL2619,Cyo_MSK136	1	16	0.9285714285714286	14
Betaine biosynthesis, choline => betaine	0.905172469524058	0.3413985576552479	1	C.nasorum	M00555	Ccu_c8Ua_181,Ccu_CTNIH19,Cha_CTNIH20,Cha_CTNIH21,Cha_CTNIH22,Cha_CTNIH23,Cmq_c19Ua_121,Cmq_KPL4083,Cmq_MSK144,Cke_CTNIH24,Cke_CTNIH27,Cke_EYE_437,Cke_FDAARGOS_1055,Cke_LK1134,Cke_YSMAA5_1_D11,Cna_KPL2825,Cna_KPL3649,Cna_KPL3804,Cna_KPL4035,Cna_KPL4072,Cna_MSK071,Cna_MSK185,Cna_MSK194,Ctu_KPL3807,Ctu_MSK207,Ctu_SK141,Cyo_c21Ua_68,Cyo_KPL2619,Cyo_MSK136	0.9375	16	1	14
C1-unit interconversion, prokaryotes	0.905172469524058	0.3413985576552479	1	C.nasorum	M00140	Ccu_c8Ua_181,Cha_CTNIH20,Cha_CTNIH21,Cha_CTNIH22,Cha_CTNIH23,Cmq_c19Ua_121,Cmq_KPL4083,Cmq_MSK144,Cke_CTNIH24,Cke_CTNIH27,Cke_EYE_437,Cke_FDAARGOS_1055,Cke_LK1134,Cke_YSMAA5_1_D11,Cna_KPL2825,Cna_KPL3649,Cna_KPL3804,Cna_KPL4035,Cna_KPL4072,Cna_MSK071,Cna_MSK185,Cna_MSK194,Ctu_DSM_44922,Ctu_KPL3807,Ctu_MSK207,Ctu_SK141,Cyo_c21Ua_68,Cyo_KPL2619,Cyo_MSK136	0.9375	16	1	14
Methylcitrate cycle	0.5357142897468334	0.46421431108954225	1	C.nasorum	M00982	Ccu_c8Ua_181,Ccu_CTNIH19,Cha_CTNIH20,Cha_CTNIH21,Cha_CTNIH22,Cmq_c19Ua_121,Cmq_KPL4083,Cmq_MSK144,Cke_CTNIH24,Cke_CTNIH27,Cke_FDAARGOS_1055,Cke_YSMAA5_1_D11,Cna_KPL2825,Cna_KPL3649,Cna_KPL3804,Cna_KPL4035,Cna_KPL4072,Cna_MSK071,Cna_MSK185,Cna_MSK194,Ctu_MSK207,Cyo_c21Ua_68,Cyo_KPL2619,Cyo_MSK136	0.75	16	0.8571428571428571	14
Pyruvate oxidation, pyruvate => acetyl-CoA	0.4285714365714357	0.5126907563270956	1	Other	M00307	Ccu_c8Ua_181,Ccu_CTNIH19,Cha_CTNIH20,Cha_CTNIH21,Cha_CTNIH23,Cmq_c19Ua_121,Cmq_KPL4083,Cmq_MSK144,Cke_CTNIH24,Cke_CTNIH27,Cke_EYE_437,Cke_FDAARGOS_1055,Cke_LK1134,Cke_YSMAA5_1_D11,Cna_KPL4035,Cna_KPL4072,Cna_MSK071,Cna_MSK185,Cna_MSK194,Ctu_DSM_44922,Ctu_KPL3807,Ctu_MSK207,Cyo_c21Ua_68,Cyo_KPL2619,Cyo_MSK136	0.875	16	0.7857142857142857	14
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	0	1	1	NA	M00049	Ccu_c8Ua_181,Ccu_CTNIH19,Cha_CTNIH20,Cha_CTNIH21,Cha_CTNIH22,Cha_CTNIH23,Cmq_c19Ua_121,Cmq_KPL4083,Cmq_MSK144,Cke_CTNIH24,Cke_CTNIH27,Cke_EYE_437,Cke_FDAARGOS_1055,Cke_LK1134,Cke_YSMAA5_1_D11,Cna_KPL2825,Cna_KPL3649,Cna_KPL3804,Cna_KPL4035,Cna_KPL4072,Cna_MSK071,Cna_MSK185,Cna_MSK194,Ctu_DSM_44922,Ctu_KPL3807,Ctu_MSK207,Ctu_SK141,Cyo_c21Ua_68,Cyo_KPL2619,Cyo_MSK136	1	16	1	14
Arginine biosynthesis, ornithine => arginine	0	1	1	NA	M00844	Ccu_c8Ua_181,Ccu_CTNIH19,Cha_CTNIH20,Cha_CTNIH21,Cha_CTNIH22,Cha_CTNIH23,Cmq_c19Ua_121,Cmq_KPL4083,Cmq_MSK144,Cke_CTNIH24,Cke_CTNIH27,Cke_EYE_437,Cke_FDAARGOS_1055,Cke_LK1134,Cke_YSMAA5_1_D11,Cna_KPL2825,Cna_KPL3649,Cna_KPL3804,Cna_KPL4035,Cna_KPL4072,Cna_MSK071,Cna_MSK185,Cna_MSK194,Ctu_DSM_44922,Ctu_KPL3807,Ctu_MSK207,Ctu_SK141,Cyo_c21Ua_68,Cyo_KPL2619,Cyo_MSK136	1	16	1	14
C10-C20 isoprenoid biosynthesis, archaea	0	1	1	NA	M00365	Ccu_c8Ua_181,Ccu_CTNIH19,Cha_CTNIH20,Cha_CTNIH21,Cha_CTNIH22,Cha_CTNIH23,Cmq_c19Ua_121,Cmq_KPL4083,Cmq_MSK144,Cke_CTNIH24,Cke_CTNIH27,Cke_EYE_437,Cke_FDAARGOS_1055,Cke_LK1134,Cke_YSMAA5_1_D11,Cna_KPL2825,Cna_KPL3649,Cna_KPL3804,Cna_KPL4035,Cna_KPL4072,Cna_MSK071,Cna_MSK185,Cna_MSK194,Ctu_DSM_44922,Ctu_KPL3807,Ctu_MSK207,Ctu_SK141,Cyo_c21Ua_68,Cyo_KPL2619,Cyo_MSK136	1	16	1	14
C10-C20 isoprenoid biosynthesis, bacteria	0	1	1	NA	M00364	Ccu_c8Ua_181,Ccu_CTNIH19,Cha_CTNIH20,Cha_CTNIH21,Cha_CTNIH22,Cha_CTNIH23,Cmq_c19Ua_121,Cmq_KPL4083,Cmq_MSK144,Cke_CTNIH24,Cke_CTNIH27,Cke_EYE_437,Cke_FDAARGOS_1055,Cke_LK1134,Cke_YSMAA5_1_D11,Cna_KPL2825,Cna_KPL3649,Cna_KPL3804,Cna_KPL4035,Cna_KPL4072,Cna_MSK071,Cna_MSK185,Cna_MSK194,Ctu_DSM_44922,Ctu_KPL3807,Ctu_MSK207,Ctu_SK141,Cyo_c21Ua_68,Cyo_KPL2619,Cyo_MSK136	1	16	1	14
C5 isoprenoid biosynthesis, non-mevalonate pathway	0	1	1	NA	M00096	Ccu_c8Ua_181,Ccu_CTNIH19,Cha_CTNIH20,Cha_CTNIH21,Cha_CTNIH22,Cha_CTNIH23,Cmq_c19Ua_121,Cmq_KPL4083,Cmq_MSK144,Cke_CTNIH24,Cke_CTNIH27,Cke_EYE_437,Cke_FDAARGOS_1055,Cke_LK1134,Cke_YSMAA5_1_D11,Cna_KPL2825,Cna_KPL3649,Cna_KPL3804,Cna_KPL4035,Cna_KPL4072,Cna_MSK071,Cna_MSK185,Cna_MSK194,Ctu_DSM_44922,Ctu_KPL3807,Ctu_MSK207,Ctu_SK141,Cyo_c21Ua_68,Cyo_KPL2619,Cyo_MSK136	1	16	1	14
Citrate cycle (TCA cycle, Krebs cycle)	0	1	1	NA	M00009	Ccu_c8Ua_181,Ccu_CTNIH19,Cha_CTNIH20,Cha_CTNIH21,Cha_CTNIH22,Cha_CTNIH23,Cmq_c19Ua_121,Cmq_KPL4083,Cmq_MSK144,Cke_CTNIH24,Cke_CTNIH27,Cke_EYE_437,Cke_FDAARGOS_1055,Cke_LK1134,Cke_YSMAA5_1_D11,Cna_KPL2825,Cna_KPL3649,Cna_KPL3804,Cna_KPL4035,Cna_KPL4072,Cna_MSK071,Cna_MSK185,Cna_MSK194,Ctu_DSM_44922,Ctu_KPL3807,Ctu_MSK207,Ctu_SK141,Cyo_c21Ua_68,Cyo_KPL2619,Cyo_MSK136	1	16	1	14
