Genome,styled_Genome
SB,SB
YSMAA3_1_H1,YSMAA3_1_H1
KPL3804,KPL3804
YSMAA5_1_D11,YSMAA5_1_D11
EYE_346,EYE_346
MSK163,MSK163
MSK194,MSK194
KPL4072,KPL4072
P7_C1,P7_C1
P7_F1,P7_F1
CTNIH2,CTNIH2
CTNIH24,CTNIH24
KPL4035,KPL4035
P5_C4,P5_C4
YSMAA1_1_C6,YSMAA1_1_C6
CT01,CT01
EYE_437,EYE_437
YSMAA1_2_B7,YSMAA1_2_B7
FDAARGOS_1055,FDAARGOS_1055
KPL2825,KPL2825
CTNIH14,CTNIH14
LK1134,LK1134
MSK185,MSK185
YSMAA1_2_G9,YSMAA1_2_G9
KPL3649,KPL3649
MSK071,MSK071
CTNIH27,CTNIH27
CTNIH6,CTNIH6
