Genome,styled_Genome
Cna_KPL3804,"<span style='color:#8200E7;'>Cna</span> KPL3804<sup style=""vertical-align: super;"">T</sup>"
Cke_YSMAA5_1_D11,<span style='color:#8200E7;'>Cke</span> YSMAA5_1_D11
Cna_MSK194,<span style='color:#8200E7;'>Cna</span> MSK194
Cna_KPL4072,<span style='color:#8200E7;'>Cna</span> KPL4072
Cke_CTNIH24,<span style='color:#8200E7;'>Cna</span> CTNIH24
Cna_KPL4035,<span style='color:#8200E7;'>Cna</span> KPL4035
Cna_KPL3649,<span style='color:#8200E7;'>Cna</span> KPL3649
Cna_MSK071,<span style='color:#8200E7;'>Cna</span> MSK071
Cke_CTNIH27,<span style='color:#8200E7;'>Cna</span> CTNIH27
Cna_MSK185,<span style='color:#8200E7;'>Cna</span> MSK185
Cke_EYE_437,<span style='color:#8200E7;'><span style='color:#8200E7;'>Cke</span></span> EYE_437
Cke_LK1134,<span style='color:#8200E7;'><span style='color:#8200E7;'>Cke</span></span> LK1134
Cke_FDAARGOS_1055,<span style='color:#8200E7;'>Cke</span> FDAARGOS 1055
Cna_KPL2825,<span style='color:#8200E7;'>Cna</span> KPL2825
Cyo_KPL2619,<span style='color:#0A6003;'><span style='color:#0A6003;'>Cyo</span></span> KPL2619
Cyo_MSK136,<span style='color:#0A6003;'><span style='color:#0A6003;'>Cyo</span></span> MSK136
Cyo_c21Ua_68,"<span style='color:#0A6003;'><span style='color:#0A6003;'>Cyo</span></span> c21Ua 68<sup style=""vertical-align: super;"">T</sup>"
Cmq_KPL4083,<span style='color:#39D9E5;'>Cmq</span> KPL4083
Cmq_MSK144,<span style='color:#39D9E5;'>Cmq</span> MSK144
Cmq_c19Ua_121,"<span style='color:#39D9E5;'>Cmq</span> c19Ua 121<sup style=""vertical-align: super;"">T</sup>"
Ctu_DSM_44922,"<span style='color:#002BFF;'>Ctu</span> DSM 44922<sup style=""vertical-align: super;"">T</sup>"
Ctu_SK141,<span style='color:#002BFF;'>Ctu</span> SK141
Ctu_KPL3807,<span style='color:#002BFF;'>Ctu</span> KPL3807
Ctu_MSK207,<span style='color:#002BFF;'>Ctu</span> MSK207
Ccu_CTNIH19,<span style='color:#FF00FF;'>Ccu</span> CTNIH19
Ccu_c8Ua_181,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>"
Cha_CTNIH22,"<span style='color:#0ABF00;'>Cha</span> CTNIH22<sup style=""vertical-align: super;"">T</sup>"
Cha_CTNIH20,<span style='color:#0ABF00;'>Cha</span> CTNIH20
Cha_CTNIH21,<span style='color:#0ABF00;'>Cha</span> CTNIH21
Cha_CTNIH23,<span style='color:#0ABF00;'>Cha</span> CTNIH23
