name	group
Cyo_KPL2619	Other
Cyo_c21Ua_68	Other
Cyo_MSK136	Other
Ctu_SK141	Other
Ctu_DSM_44922	Other
Ctu_MSK207	Other
Ctu_KPL3807	Other
Cmq_c19Ua_121	Other
Cmq_MSK144	Other
Cmq_KPL4083	Other
Cha_CTNIH22	C.hallucis
Cha_CTNIH20	C.hallucis
Cha_CTNIH21	C.hallucis
Cha_CTNIH23	C.hallucis
Ccu_c8Ua_181	Other
Ccu_CTNIH19	Other
Cke_CTNIH24	Other
Cke_CTNIH27	Other
Cke_EYE_437	Other
Cke_FDAARGOS_1055	Other
Cke_LK1134	Other
Cke_YSMAA5_1_D11	Other
Cna_KPL2825	Other
Cna_KPL3649	Other
Cna_KPL3804	Other
Cna_KPL4035	Other
Cna_KPL4072	Other
Cna_MSK071	Other
Cna_MSK185	Other
Cna_MSK194	Other
