name	group
Cyo_KPL2619	Other
Cyo_c21Ua_68	Other
Cyo_MSK136	Other
Ctu_SK141	Other
Ctu_DSM_44922	Other
Ctu_MSK207	Other
Ctu_KPL3807	Other
Cmq_c19Ua_121	Other
Cmq_MSK144	Other
Cmq_KPL4083	Other
Cha_CTNIH22	Other
Cha_CTNIH20	Other
Cha_CTNIH21	Other
Cha_CTNIH23	Other
Ccu_c8Ua_181	Other
Ccu_CTNIH19	Other
Cke_CTNIH24	C.nasorum
Cke_CTNIH27	C.nasorum
Cke_EYE_437	C.nasorum
Cke_FDAARGOS_1055	C.nasorum
Cke_LK1134	C.nasorum
Cke_YSMAA5_1_D11	C.nasorum
Cna_KPL2825	C.nasorum
Cna_KPL3649	C.nasorum
Cna_KPL3804	C.nasorum
Cna_KPL4035	C.nasorum
Cna_KPL4072	C.nasorum
Cna_MSK071	C.nasorum
Cna_MSK185	C.nasorum
Cna_MSK194	C.nasorum
