GCF,file_name,original_name,strain
GCF_037908315.1,KPL3804,Corynebacterium sp.,KPL3804
GCF_037908445.1,KPL2825,Corynebacterium sp.,KPL2825
GCF_037908335.1,KPL3649,Corynebacterium sp.,KPL3649
GCF_037908325.1,KPL4035,Corynebacterium sp.,KPL4035
GCF_037908395.1,KPL4072,Corynebacterium sp.,KPL4072
GCF_030229315.1,MSK163 ,Corynebacterium sp.,MSK163 
GCF_030232125.1,MSK071,Corynebacterium sp.,MSK071
GCF_030228925.1,MSK194,Corynebacterium sp.,MSK194
GCF_030229765.1,MSK185,Corynebacterium sp.,MSK185
GCF_022347325.1,CTNIH2,Corynebacterium sp.,CTNIH2
GCF_022345765.1,CTNIH6,Corynebacterium sp.,CTNIH6
GCF_032821635.1,CTNIH14,Corynebacterium sp.,CTNIH14
GCF_022347295.1,CTNIH24,Corynebacterium kefirresidentii,CTNIH24
GCF_022345795.1,CTNIH27,Corynebacterium kefirresidentii,CTNIH27
GCF_016599755.1,FDAARGOS_1055,Corynebacterium kefirresidentii,FDAARGOS_1055
GCF_002154655.1,SB,Corynebacterium kefirresidentii,SB
GCF_030486885.1,P7_C1,Corynebacterium kefirresidentii,P7_C1
GCF_030486845.1,P7_F1,Corynebacterium kefirresidentii,P7_F1
GCF_030486785.1,P5_C4,Corynebacterium kefirresidentii,P5_C4
GCF_025151445.1,LK1134,Corynebacterium kefirresidentii,p3-SID1570 (aka LK1134)
GCF_023147545.1,EYE_346,Corynebacterium kefirresidentii,EYE_346
GCF_023147335.1,EYE_437,Corynebacterium kefirresidentii,EYE_437
GCF_047291795.1,CT01,Corynebacterium kefirresidentii,CT01
GCF_046097515.1,YSMAA5_1_D11,Corynebacterium kefirresidentii,YSMAA5_1_D11
GCF_046097325.1,YSMAA1_2_G9,Corynebacterium kefirresidentii,YSMAA1_2_G9
GCF_046097315.1,YSMAA1_1_C6,Corynebacterium kefirresidentii,YSMAA1_1_C6
GCF_046097305.1,YSMAA1_2_B7,Corynebacterium kefirresidentii,YSMAA1_2_B7
GCF_046097235.1,YSMAA3_1_H1,Corynebacterium kefirresidentii,YSMAA3_1_H1
