	SB	YSMAA3_1_H1	KPL3804	YSMAA5_1_D11	EYE_346	MSK163	MSK194	KPL4072	P7_C1	P7_F1	CTNIH2	CTNIH24	KPL4035	P5_C4	YSMAA1_1_C6	CT01	EYE_437	YSMAA1_2_B7	FDAARGOS_1055	KPL2825	CTNIH14	LK1134	MSK185	YSMAA1_2_G9	KPL3649	MSK071	CTNIH27	CTNIH6
SB	1.0	0.9601521005	0.9592099632000001	0.9590410927	0.9587749541	0.9590843349	0.9590753836	0.9603832905	0.9606274591	0.9606123435	0.9607321735000001	0.9607157630000001	0.9590659165000001	0.9588916551000001	0.9595828506	0.9598064695	0.9603023389	0.9599946133	0.9588541483	0.9589947483000001	0.9596358906	0.9592225868	0.9592804264	0.9596952705	0.9582478526	0.9582735593	0.9585902217000001	0.9587026437
YSMAA3_1_H1	0.9611864410000001	1.0	0.9936449409	0.9936339739000001	0.9929198474	0.9935058716	0.9937087984	0.9783520923000001	0.9780442573	0.9781777031000001	0.9770572303	0.9770920887000001	0.9754056230000001	0.9749483708000001	0.9785206870000001	0.9802022613	0.9782760426	0.9836118869	0.9815164248	0.9799179946000001	0.9772180383	0.9784894653	0.9782790356000001	0.9783625319	0.9821778329	0.9819600991	0.977720502	0.9778439198000001
KPL3804	0.9588849036	0.9920510004	1.0	0.9979590597	0.9977035197	0.9975526741	0.9978530877	0.9769177831	0.9758095390000001	0.9762517283000001	0.9761494235	0.9761017005	0.9734537647	0.9731152473	0.9764031080000001	0.9780959522	0.9768663747	0.9830100307	0.9794311491000001	0.9797246678	0.9762091129	0.9761664051000001	0.9757621948	0.9765367671	0.9823227038000001	0.9826107028000001	0.9761538754	0.9761243284000001
YSMAA5_1_D11	0.9605521326	0.9936355261	0.9989744878000001	1.0	0.998264067	0.9989146951000001	0.9989899876	0.9774119238000001	0.9773396027000001	0.9776754199000001	0.9769312188	0.9769157524000001	0.9748710093	0.9743472711000001	0.9764772968000001	0.9788983126	0.9778056811	0.9837712144	0.9808510508	0.9805627403	0.977104599	0.9766767824	0.9765099202	0.9778728182	0.9832811934000001	0.9836504335	0.9768973188000001	0.9770130175
EYE_346	0.9601470187000001	0.9940343755000001	0.9997864313	0.9996889363	1.0	0.9996875444000001	0.9997758235	0.9789376333	0.9783362931	0.9787885657000001	0.9778471364	0.9777158733	0.9761679910000001	0.9755034264	0.9783784480000001	0.9793576826	0.9783323419000001	0.9843863624	0.980896713	0.9811118537	0.9780521190000001	0.9779052891000001	0.9772026574	0.9780021520000001	0.9839356897	0.9843027862	0.9784046150000001	0.9784698931
MSK163	0.9600043417	0.9934573896000001	0.9996540613	0.9996487858	0.9994051223	1.0	0.9995952771000001	0.9781798755000001	0.9777824479	0.9779024201000001	0.9774664955000001	0.9773524302000001	0.9754473553	0.9745466503	0.9778118999000001	0.9791628694000001	0.9782957398000001	0.9843028214	0.9804614694	0.9808739078000001	0.9777897350000001	0.9779789621	0.9773724124000001	0.9782304489	0.9835479613	0.9838044518000001	0.9773337522000001	0.9775973401
MSK194	0.9602163298	0.9937334961000001	0.9997828272	0.9997641919	0.9995836295	0.9995630776000001	1.0	0.9785295511000001	0.9779493203	0.9781363357	0.9775429268	0.9774820939000001	0.9754266696	0.974549572	0.9780855352000001	0.9792580108000001	0.9782305388	0.9843798748	0.9808666994	0.9810282074000001	0.9782473093	0.978034158	0.9771162640000001	0.9781483219	0.9837553789000001	0.983958281	0.9779540989000001	0.9783038468
KPL4072	0.9613505151	0.9791077172	0.9782106546	0.9790291418	0.9789327491	0.9784630408	0.9786158093	1.0	0.9811907044	0.9811680274000001	0.9813819479	0.9813507517000001	0.9795924347	0.978789109	0.9784179498000001	0.9767775658000001	0.9784321011	0.9798711257	0.9792488884	0.9796407288000001	0.9765033349000001	0.976028807	0.9758839892000001	0.9765553459	0.9773270503	0.9778890474	0.9776099782000001	0.9775586524000001
P7_C1	0.9615556576000001	0.9791464624	0.9784353721000001	0.9788683730000001	0.9787520486000001	0.9784084527	0.9785174945	0.9817875329	1.0	0.9998539775	0.9819499737	0.9818972042	0.9813980510000001	0.9810588811000001	0.9777066858000001	0.9761348093000001	0.9773934966000001	0.9791897808000001	0.9775220116000001	0.9779609013	0.9779774855000001	0.9763305457	0.9759908682	0.9774674183000001	0.9776173129000001	0.9776671993	0.9778098247	0.9779715132000001
P7_F1	0.9619130506	0.9792293761	0.9785073061	0.9788673061000001	0.9787661749000001	0.9784779902	0.9784458881	0.9814442482000001	0.9997970449	1.0	0.9818938002	0.9818369159	0.9815335727000001	0.9812438410000001	0.9777049128	0.9763596582	0.9775688658	0.9791479964	0.9775348329	0.9780459991	0.9782633273	0.9762927457	0.9762563106000001	0.9771544618	0.9776703829000001	0.9776622816	0.9780445374000001	0.9780398085
CTNIH2	0.9613641795000001	0.9776106076000001	0.977055627	0.9773453940000001	0.9772577037000001	0.9771546640000001	0.9770941708	0.9809129083	0.9815795666	0.9816816342	1.0	0.9999018531	0.9822428265	0.9820247609	0.9757169567	0.9740856876	0.9751228055000001	0.9770039901	0.9765433515	0.9765802742	0.9750052615	0.9743805225000001	0.9746211201	0.9763723762000001	0.9761639077	0.9764794496	0.9772493105000001	0.9774111343
CTNIH24	0.961263233	0.9773067623	0.9768793417	0.9772265604	0.9772983558	0.9769631337	0.976905576	0.9804322919	0.9814094382	0.9814950928	0.9999072344000001	1.0	0.9819416808	0.9818514848000001	0.9753828308	0.9737059864000001	0.9750447215	0.9769824763	0.9765022414000001	0.9763156438	0.9751832773	0.9741017552000001	0.9742150809000001	0.9765157071	0.9759874507	0.9760907949000001	0.9770012905000001	0.9771143625
KPL4035	0.9602989599	0.9761236792	0.9747825968	0.9758062905	0.9756610138	0.9749941824	0.9748296249	0.9793901192000001	0.9806310649000001	0.9807891400000001	0.9824867054	0.9825263292	1.0	0.9967438211	0.9725688106	0.9720812988	0.9739198249000001	0.9757551551	0.9742092935000001	0.9739034669000001	0.9736399359000001	0.9727072252000001	0.9724797714000001	0.9743613190000001	0.9737907029	0.9738307617	0.9745506201	0.9743976507000001
P5_C4	0.9599195389	0.9757867971	0.974584514	0.9753378664000001	0.9751632383000001	0.9744930261	0.9749756236	0.9786449142	0.9807109611	0.9807151711000001	0.9820312832	0.9819770955	0.9972886232	1.0	0.9722302013	0.9718852245	0.9733187506000001	0.9754000364000001	0.9734720965	0.9735166247	0.9726598505	0.9723430171	0.9723617859	0.9733826067	0.9735377690000001	0.9735882885	0.9743182973000001	0.9744511425000001
YSMAA1_1_C6	0.9598534991000001	0.9787301530000001	0.9779096509	0.9779857869	0.9779965282	0.9776913012	0.9778977470000001	0.9778708092	0.9775451348	0.9776804235000001	0.9757459964	0.9756467576000001	0.9721288889	0.9719682703	1.0	0.9836618225	0.9835237292000001	0.9824377856000001	0.983252717	0.9843293080000001	0.9822738360000001	0.9813342416	0.9810752070000001	0.9790799776	0.9796294596	0.9798631318000001	0.9805422323	0.9805281352
CT01	0.9596445905000001	0.9789735289	0.9782446271	0.9785727959	0.9781419920000001	0.9783043048000001	0.9783563884	0.9762292692000001	0.9748339232000001	0.9749529825000001	0.9734840055	0.9734000727000001	0.9714510656	0.9711056386	0.9835543747000001	1.0	0.9880020578	0.9813433797000001	0.9815556711000001	0.9806275656000001	0.9801229996	0.9812969796000001	0.9785405716000001	0.9773328668000001	0.9780766842	0.9781904779	0.9765654549	0.976609036
EYE_437	0.9610463539	0.9785870244	0.9782629987	0.9781874168	0.9781778562000001	0.9782577078	0.9782648070000001	0.9781007920000001	0.9770066891	0.9772152861000001	0.9755760590000001	0.9754987891	0.9740919911	0.973548771	0.9834222407000001	0.9887196396000001	1.0	0.9803543024	0.9811368645	0.9810317075	0.9791440523	0.9825499190000001	0.9783645883000001	0.9778110978000001	0.9773026689000001	0.9773711827	0.9779132563	0.9778930746000001
YSMAA1_2_B7	0.9607832019	0.983893729	0.9842520947000001	0.9843419786000001	0.9842746363	0.9842962077	0.9844539982	0.9796863760000001	0.9790022079	0.9791193038	0.9777386978	0.9776419274	0.9758483998	0.9752087712	0.9829408705	0.9820106391000001	0.9808904730000001	1.0	0.9863758462000001	0.9860965500000001	0.98330005	0.9826095041	0.9802773569000001	0.9800701198	0.9823029388000001	0.9823588944	0.9824791592000001	0.9824939164000001
FDAARGOS_1055	0.9599968927	0.9810559182	0.9804225801	0.9805061884	0.9800043283000001	0.9804266622000001	0.9804727916	0.9788160108	0.9772538891	0.9772738444	0.9767300365	0.9766578880000001	0.9734825760000001	0.9728520461000001	0.9836865915	0.9823477391000001	0.9816136795	0.9860093143	1.0	0.9854445965	0.9832037669	0.9840603676	0.9817907716000001	0.9786586553000001	0.9816769996	0.9817687937	0.9827046732	0.9827024844000001
