name,genus,species
Cau_620_CAUR,Corynebacterium,aurimucosum
Ccu_c8Ua_181,Corynebacterium,curieae
Ccu_CTNIH19,Corynebacterium,curieae
Cha_CTNIH20,Corynebacterium,hallux
Cha_CTNIH21,Corynebacterium,hallux
Cha_CTNIH22,Corynebacterium,hallux
Cha_CTNIH23,Corynebacterium,hallux
Cke_CTNIH24,Corynebacterium,nasorum
Cke_CTNIH27,Corynebacterium,nasorum
Cke_EYE_437,Corynebacterium,nasorum
Cke_FDAARGOS_1055,Corynebacterium,nasorum
Cke_LK1134,Corynebacterium,nasorum
Cmq_c19Ua_121,Corynebacterium,marquesiae
Cmq_KPL4083,Corynebacterium,marquesiae
Cmq_MSK144,Corynebacterium,marquesiae
Cna_KPL2825,Corynebacterium,nasorum
Cna_KPL3649,Corynebacterium,nasorum
Cna_KPL3804,Corynebacterium,nasorum
Cna_KPL4035,Corynebacterium,nasorum
Cna_KPL4072,Corynebacterium,nasorum
Cna_MSK071,Corynebacterium,nasorum
Cna_MSK185,Corynebacterium,nasorum
Cna_MSK194,Corynebacterium,nasorum
Ctu_DSM_44922,Corynebacterium,tuberculostearicum
Ctu_KPL3807,Corynebacterium,tuberculostearicum
Ctu_MSK207,Corynebacterium,tuberculostearicum
Ctu_SK141,Corynebacterium,tuberculostearicum
Cyo_c21Ua_68,Corynebacterium,yonathiae
Cyo_KPL2619,Corynebacterium,yonathiae
Cyo_MSK136,Corynebacterium,yonathiae
C_jeikeium_K411,Corynebacterium,jeikeium
C_efficiens_YS_314,Corynebacterium,efficiens
C_aurimucosum_ATCC_700975,Corynebacterium,aurimucosum
C_kroppenstedtii_DSM_44385,Corynebacterium,kroppenstedtii
C_genitalium_ATCC_33030,Corynebacterium,genitalium
C_matruchotii_ATCC_14266,Corynebacterium,matruchotii
C_resistens_DSM_45100,Corynebacterium,resistens
C_ulcerans_809,Corynebacterium,ulcerans
C_otitidis_ATCC_51513,Corynebacterium,otitidis
C_timonense_5401744,Corynebacterium,timonense
C_durum_F0235,Corynebacterium,durum
C_halotolerans_DSM_44683,Corynebacterium,halotolerans
C_callunae_DSM_20147,Corynebacterium,callunae
C_mastitidis_DSM_44356,Corynebacterium,mastitidis
C_caspium_DSM_44850,Corynebacterium,caspium
C_glutamicum_SCgG2,Corynebacterium,glutamicum
C_massiliense_DSM_45435,Corynebacterium,massiliense
C_maris_DSM_45190,Corynebacterium,maris
C_casei_LMG_S_19264,Corynebacterium,casei
C_vitaeruminis_DSM_20294,Corynebacterium,vitaeruminis
C_pseudodiphtheriticum_DSM_44287,Corynebacterium,pseudodiphtheriticum
C_doosanense_DSM_45436,Corynebacterium,doosanense
C_singulare_IBS_B52218,Corynebacterium,singulare
C_marinum_DSM_44953,Corynebacterium,marinum
C_camporealensis_DSM_44610,Corynebacterium,camporealensis
C_simulans_Wattiau,Corynebacterium,simulans
C_pseudotuberculosis_MEX29,Corynebacterium,pseudotuberculosis
C_stationis_DSM_20302,Corynebacterium,stationis
C_flavescens_OJ8,Corynebacterium,flavescens
C_phocae_M408,Corynebacterium,phocae
C_diphtheriae_ISS_3319,Corynebacterium,diphtheriae
C_xerosis_GS_1,Corynebacterium,xerosis
C_bovis_4826,Corynebacterium,bovis
C_pelargi_1363,Corynebacterium,pelargi
C_endometrii_LMM_1653,Corynebacterium,endometrii
C_variabile_NBRC_15286,Corynebacterium,variabile
C_canis_CCUG_58627,Corynebacterium,canis
C_kalinowskii_1959,Corynebacterium,kalinowskii
C_lizhenjunii_ZJ_599,Corynebacterium,lizhenjunii
C_mucifaciens_ATCC_700355,Corynebacterium,mucifaciens
C_incognita_Marseille_Q3630,Corynebacterium,incognita
C_afermentans_CCUG_32105,Corynebacterium,afermentans
Cma_CCUG32361,Corynebacterium,macginleyi
C_macginleyi_160811,Corynebacterium,macginleyi
C_striatum_FDAARGOS_1115,Corynebacterium,striatum
C_tuberculostearicum_FDAARGOS_1117,Corynebacterium,tuberculostearicum
C_glucuronolyticum_FDAARGOS_1111,Corynebacterium,glucuronolyticum
C_propinquum_FDAARGOS_1112,Corynebacterium,propinquum
C_amycolatum_FDAARGOS_1108,Corynebacterium,amycolatum
C_accolens_DSM_44278,Corynebacterium,accolens
C_curieae_c8Ua_181,Corynebacterium,curieae
C_lehmanniae_c8Ua_144,Corynebacterium,lehmanniae
C_evansiae_c8Ua_174,Corynebacterium,evansiae
C_meitnerae_c8Ua_172,Corynebacterium,meitnerae
C_marquesiae_c19Ua_121,Corynebacterium,marquesiae
C_macclintockiae_c9Ua_112,Corynebacterium,macclintockiae
C_yonathiae_c21Ua_68,Corynebacterium,yonathiae
C_hesseae_c19Ua_109,Corynebacterium,hesseae
C_coyleae_DSM_44184,Corynebacterium,coyleae
C_imitans_NCTC13015,Corynebacterium,imitans
C_urealyticum_NCTC12011,Corynebacterium,urealyticum
C_pilosum_NCTC11862,Corynebacterium,pilosum
C_minutissimum_NCTC10288,Corynebacterium,minutissimum
C_ammoniagenes_MGYG_HGUT_01533,Corynebacterium,ammoniagenes
