name,genus,species
Corynebacterium_accolens_DSM_44278,Corynebacterium,accolens
Corynebacterium_aurimucosum_620_CAUR,Corynebacterium,aurimucosum
Corynebacterium_aurimucosum_ATCC_700975,Corynebacterium,aurimucosum
Corynebacterium_caspium_DSM_44850,Corynebacterium,caspium
Corynebacterium_curiae_c8Ua_181,Corynebacterium,curiae
Corynebacterium_curiae_CTNIH19,Corynebacterium,curiae
Corynebacterium_hallux_CTNIH20,Corynebacterium,hallux
Corynebacterium_hallux_CTNIH21,Corynebacterium,hallux
Corynebacterium_hallux_CTNIH22,Corynebacterium,hallux
Corynebacterium_hallux_CTNIH23,Corynebacterium,hallux
Corynebacterium_kefirresidentii_FDAARGOS_1055,Corynebacterium,kefirresidentii
Corynebacterium_kefirresidentii_LK1134,Corynebacterium,kefirresidentii
Corynebacterium_kroppenstedtii_DSM_44385,Corynebacterium,kroppenstedtii
Corynebacterium_marquesiae_c19Ua_121,Corynebacterium,marquesiae
Corynebacterium_marquesiae_KPL4083,Corynebacterium,marquesiae
Corynebacterium_marquesiae_MSK144,Corynebacterium,marquesiae
Corynebacterium_massiliense_DSM_45435,Corynebacterium,massiliense
Corynebacterium_matruchotii_ATCC_14266,Corynebacterium,matruchotii
Corynebacterium_pseudodiphtheriticum_DSM_44287,Corynebacterium,pseudodiphtheriticum
Corynebacterium_nasorum_CTNIH24,Corynebacterium,nasorum
Corynebacterium_nasorum_KPL3804,Corynebacterium,nasorum
Corynebacterium_nasorum_MSK185,Corynebacterium,nasorum
Corynebacterium_tuberculostearicum_DSM_44922,Corynebacterium,tuberculostearicum
Corynebacterium_tuberculostearicum_KPL3807,Corynebacterium,tuberculostearicum
Corynebacterium_tuberculostearicum_MSK207,Corynebacterium,tuberculostearicum
Corynebacterium_tuberculostearicum_SK141,Corynebacterium,tuberculostearicum
Corynebacterium_yonathiae_c21Ua_68,Corynebacterium,yonathiae
Corynebacterium_yonathiae_KPL2619,Corynebacterium,yonathiae
Corynebacterium_yonathiae_MSK126,Corynebacterium,yonathiae
Mycobacterium_tuberculosis_H37Rv,Corynebacterium,tuberculosis
