name,genus,species
Corynebacterium_accolens_DSM_44278,Corynebacterium,accolens
Corynebacterium_afermentans_CCUG_32105,Corynebacterium,afermentans
Corynebacterium_ammoniagenes_MGYG_HGUT_01533,Corynebacterium,ammoniagenes
Corynebacterium_amycolatum_FDAARGOS_1108,Corynebacterium,amycolatum
Corynebacterium_aurimucosum_620_CAUR,Corynebacterium,aurimucosum
Corynebacterium_aurimucosum_ATCC_700975,Corynebacterium,aurimucosum
Corynebacterium_bovis_4826,Corynebacterium,bovis
Corynebacterium_callunae_DSM_20147,Corynebacterium,callunae
Corynebacterium_camporealensis_DSM_44610,Corynebacterium,camporealensis
Corynebacterium_canis_CCUG_58627,Corynebacterium,canis
Corynebacterium_casei_LMG_S_19264,Corynebacterium,casei_LMG
Corynebacterium_caspium_DSM_44850,Corynebacterium,caspium
Corynebacterium_coyleae_DSM_44184,Corynebacterium,coyleae
Corynebacterium_curieae_c8Ua_181,Corynebacterium,curieae
Corynebacterium_diphtheriae_ISS_3319,Corynebacterium,diphtheriae
Corynebacterium_doosanense_DSM_45436,Corynebacterium,doosanense
Corynebacterium_durum_F0235,Corynebacterium,durum
Corynebacterium_efficiens_YS_314,Corynebacterium,efficiens
Corynebacterium_endometrii_LMM_1653,Corynebacterium,endometrii
Corynebacterium_evansiae_c8Ua_174,Corynebacterium,evansiae
Corynebacterium_flavescens_OJ8,Corynebacterium,flavescens
Corynebacterium_genitalium_ATCC_33030,Corynebacterium,genitalium
Corynebacterium_glucuronolyticum_FDAARGOS_1111,Corynebacterium,glucuronolyticum
Corynebacterium_glutamicum_SCgG2,Corynebacterium,glutamicum
Corynebacterium_hallux_CTNIH22,Corynebacterium,hallux
Corynebacterium_halotolerans_DSM_44683,Corynebacterium,halotolerans
Corynebacterium_hesseae_c19Ua_109,Corynebacterium,hesseae
Corynebacterium_imitans_NCTC13015,Corynebacterium,imitans
Corynebacterium_incognita_Marseille_Q3630,Corynebacterium,incognita
Corynebacterium_jeikeium_K411,Corynebacterium,jeikeium
Corynebacterium_kalinowskii_1959,Corynebacterium,kalinowskii
Corynebacterium_kefirresidentii_LK1134,Corynebacterium,kefirresidentii
Corynebacterium_kroppenstedtii_DSM_44385,Corynebacterium,kroppenstedtii
Corynebacterium_lehmanniae_c8Ua_144,Corynebacterium,lehmanniae
Corynebacterium_lizhenjunii_ZJ_599,Corynebacterium,lizhenjunii
Corynebacterium_macclintockiae_c9Ua_112,Corynebacterium,macclintockiae
Corynebacterium_macginleyi_160811,Corynebacterium,macginleyi
Corynebacterium_marinum_DSM_44953,Corynebacterium,marinum
Corynebacterium_maris_DSM_45190,Corynebacterium,maris
Corynebacterium_marquesiae_c19Ua_121,Corynebacterium,marquesiae
Corynebacterium_massiliense_DSM_45435,Corynebacterium,massiliense
Corynebacterium_mastitidis_DSM_44356,Corynebacterium,mastitidis
Corynebacterium_matruchotii_ATCC_14266,Corynebacterium,matruchotii
Corynebacterium_meitnerae_c8Ua_172,Corynebacterium,meitnerae
Corynebacterium_minutissimum_NCTC10288,Corynebacterium,minutissimum
Corynebacterium_mucifaciens_ATCC_700355,Corynebacterium,mucifaciens
Corynebacterium_nasorum_KPL3804,Corynebacterium,nasorum
Corynebacterium_nasorum_MSK185,Corynebacterium,nasorum
Corynebacterium_otitidis_ATCC_51513,Corynebacterium,otitidis
Corynebacterium_pelargi_1363,Corynebacterium,pelargi
Corynebacterium_phocae_M408,Corynebacterium,phocae
Corynebacterium_pilosum_NCTC11862,Corynebacterium,pilosum
Corynebacterium_propinquum_FDAARGOS_1112,Corynebacterium,propinquum
Corynebacterium_pseudodiphtheriticum_DSM_44287,Corynebacterium,pseudodiphtheriticum
Corynebacterium_pseudotuberculosis_MEX29,Corynebacterium,pseudotuberculosis
Corynebacterium_resistens_DSM_45100,Corynebacterium,resistens
Corynebacterium_simulans_Wattiau,Corynebacterium,simulans
Corynebacterium_singulare_IBS_B52218,Corynebacterium,singulare
Corynebacterium_stationis_DSM_20302,Corynebacterium,stationis
Corynebacterium_striatum_FDAARGOS_1115,Corynebacterium,striatum
Corynebacterium_timonense_5401744,Corynebacterium,timonense
Corynebacterium_tuberculostearicum_DSM_44922,Corynebacterium,tuberculostearicum
Corynebacterium_tuberculostearicum_KPL3807,Corynebacterium,tuberculostearicum
Corynebacterium_tuberculostearicum_SK141,Corynebacterium,tuberculostearicum
Corynebacterium_ulcerans_809,Corynebacterium,ulcerans
Corynebacterium_urealyticum_NCTC12011,Corynebacterium,urealyticum
Corynebacterium_variabile_NBRC_15286,Corynebacterium,variabile
Corynebacterium_vitaeruminis_DSM_20294,Corynebacterium,vitaeruminis
Corynebacterium_xerosis_GS_1,Corynebacterium,xerosis
Corynebacterium_yonathiae_c21Ua_68,Corynebacterium,yonathiae
Corynebacterium_yonathiae_KPL2619,Corynebacterium,yonathiae
Corynebacterium_yonathiae_MSK136,Corynebacterium,yonathiae
