name,genus,species
Cyo_KPL2619,Corynebacterium,yonathiae
Cyo_c21Ua_68,Corynebacterium,yonathiae
Cyo_MSK136,Corynebacterium,yonathiae
Ctu_SK141,Corynebacterium,tuberculostearicum
Ctu_DSM_44922,Corynebacterium,tuberculostearicum
Ctu_MSK207,Corynebacterium,tuberculostearicum
Ctu_KPL3807,Corynebacterium,tuberculostearicum
Cmq_c19Ua_121,Corynebacterium,marquesiae
Cmq_MSK144,Corynebacterium,marquesiae
Cmq_KPL4083,Corynebacterium,marquesiae
Cau_620_CAUR,Corynebacterium,aurimucosum
Cha_CTNIH22,Corynebacterium,hallux
Cha_CTNIH20,Corynebacterium,hallux
Cha_CTNIH21,Corynebacterium,hallux
Cha_CTNIH23,Corynebacterium,hallux
Ccu_c8Ua_181,Corynebacterium,curieae
Ccu_CTNIH19,Corynebacterium,curieae
Cke_CTNIH24,Corynebacterium,nasorum
Cke_CTNIH27,Corynebacterium,nasorum
Cke_EYE_437,Corynebacterium,nasorum
Cke_FDAARGOS_1055,Corynebacterium,nasorum
Cke_LK1134,Corynebacterium,nasorum
Cna_KPL2825,Corynebacterium,nasorum
Cna_KPL3649,Corynebacterium,nasorum
Cna_KPL3804,Corynebacterium,nasorum
Cna_KPL4035,Corynebacterium,nasorum
Cna_KPL4072,Corynebacterium,nasorum
Cna_MSK071,Corynebacterium,nasorum
Cna_MSK185,Corynebacterium,nasorum
Cna_MSK194,Corynebacterium,nasorum
