	Cke_CTNIH27	Cke_YSMAA5_1_D11	Cna_KPL3804	Cna_MSK194	Cna_KPL3649	Cna_MSK071	Cke_CTNIH24	Cna_KPL4035	Cna_KPL4072	Cke_FDAARGOS_1055	Cna_KPL2825	Cke_EYE_437	Cke_LK1134	Cna_MSK185	Ccu_CTNIH19	Ccu_c8Ua_181	Cha_CTNIH22	Cha_CTNIH20	Cha_CTNIH21	Cha_CTNIH23	Cyo_MSK136	Cyo_KPL2619	Cyo_c21Ua_68	Ctu_DSM_44922	Cmq_c19Ua_121	Cmq_KPL4083	Cmq_MSK144	Ctu_SK141	Ctu_KPL3807	Ctu_MSK207
Cke_CTNIH27	0.9999741212000001	0.8816932969	0.8811890015	0.8813926613	0.8986215071	0.893259043	0.8716361163	0.8728653911	0.8851543110000001	0.8767464935	0.8690955642	0.8562600333	0.8794529276	0.8722637322000001	0.7113023904	0.7106943358000001	0.7116592102	0.7054736511	0.7087746059000001	0.7025347128	0.7642652355	0.7565953094000001	0.7627515258	0.7153267980000001	0.7318610274	0.7241045067	0.7285544744	0.7277786052	0.7068699083000001	0.7209757078
Cke_YSMAA5_1_D11	0.9133760557	1.0	0.9858252035	0.9877093581	0.9222172981000001	0.9166804664	0.8953890607	0.9027524096	0.910118478	0.9004830519	0.8964482735	0.8770141395000001	0.8962620624000001	0.8993298935	0.7264059574	0.7275277231	0.7363692242000001	0.7259655726	0.7343279062	0.7261102304	0.7769753854	0.7737921063000001	0.7900974802	0.7328635322	0.7505253876	0.7542341646	0.7533139918	0.7444288839000001	0.7200703476	0.7374516114
Cna_KPL3804	0.9142000485	0.9828839456	0.9999983716	0.9875933817	0.9242315582	0.9201198713000001	0.8963854143000001	0.9040877970000001	0.9086758692	0.9075734333000001	0.9044404493	0.8830179515000001	0.8946668681000001	0.8987851629	0.7303879795	0.7309326279	0.7416287925	0.7332429422000001	0.7414922984	0.7309974877000001	0.7865447876	0.7824908712	0.7884872794000001	0.7348216273	0.7562601089000001	0.7562760741	0.7492879636	0.7483078166	0.7250091674	0.7425723082
Cna_MSK194	0.9185476813000001	0.9895611360000001	0.9920956465	0.9999987698	0.9273041221	0.9248416026	0.8996229079	0.9057195079	0.9142067570000001	0.9123816906000001	0.9113318843	0.8899830562000001	0.8999645569	0.9039037465	0.7347772885	0.7360583718	0.7436561365000001	0.7367934116	0.7447155232	0.736136985	0.7860668969	0.7838503577	0.7907423084	0.7370150194	0.7626916082	0.7595370925	0.7560234218	0.7537039378	0.7284978083	0.7457333955000001
Cna_KPL3649	0.9178363245000001	0.9080200827	0.9094745938000001	0.9096627427	0.999989568	0.9853931888	0.8993638087	0.8890401965	0.8999463484	0.9141151422	0.8930120674	0.8899021707	0.9056773788	0.9060789172	0.7196381769	0.7217989368000001	0.7264237704000001	0.7191435733	0.7238399149	0.7169738115000001	0.7776803127	0.7744185391	0.7781311833	0.7353560067	0.7431494078	0.7509379369	0.7430066901	0.7433940519000001	0.7173788141	0.7378744163000001
Cna_MSK071	0.913545127	0.9067255336000001	0.9044499611000001	0.9062995011	0.9848965841	0.9981418979000001	0.8952325329	0.8833713383	0.8929684545000001	0.9070158898	0.8858635536	0.8839245814000001	0.9020695795	0.9025703826	0.7124529389	0.7146531151000001	0.7156972406000001	0.7119139667000001	0.7129972246	0.707325945	0.7684637279000001	0.7658404393	0.7724035086000001	0.7255674129	0.7388044641	0.7434556392	0.7422637080000001	0.7377568505000001	0.7091323346	0.7334188289
Cke_CTNIH24	0.9022433276	0.8944435868	0.895171869	0.8959972565000001	0.9139334669	0.9113646134000001	0.9999695436	0.9035355273000001	0.9027908488	0.8835827338000001	0.8783549721	0.8758732561	0.8897713933	0.8896430783	0.7296209404	0.7321279349	0.7309284991	0.7256045734000001	0.7290733537	0.7252492698	0.7751202003000001	0.7740902747	0.7774735075	0.7440671940000001	0.7523226404000001	0.7522981999999999	0.752919169	0.7535135251	0.7318735643000001	0.7503576096
Cna_KPL4035	0.9041337186	0.9029563496	0.9048358234	0.9039700423	0.9026012440000001	0.8977738345	0.9042719276000001	1.0	0.9094106345	0.8837062351	0.8873093053000001	0.8675183879	0.8871455224	0.8910876789000001	0.7310271827	0.73364277	0.7297180826	0.7238751926	0.723001071	0.7196890891000001	0.7847968201000001	0.781753451	0.7827078832000001	0.7341040887	0.7542360006000001	0.7561043791000001	0.7502502452	0.7491443705	0.7226619366	0.7411589192
Cna_KPL4072	0.9220165759000001	0.9089644398000001	0.9090585974000001	0.910713948	0.9123866083000001	0.9092149728000001	0.9032999994	0.9100806729	0.9999955079	0.8974099426000001	0.8923106828	0.8776151138	0.8906756506	0.8951695293	0.7302653022000001	0.7315465727	0.7325495289	0.7275883001	0.7283026888	0.7236027136000001	0.7866718877000001	0.7822019682	0.7853190953	0.7315224474	0.7519125732	0.7600346399	0.7516673784	0.7457401957	0.7223239465	0.7419889334
Cke_FDAARGOS_1055	0.8887886771	0.8883908199	0.8861709799	0.8862874749	0.9056376752	0.9036905009	0.8620645898	0.8623568257	0.8760328155	1.0	0.8895748752	0.8827713459000001	0.8941866818	0.885954726	0.7115520306	0.7241156965000001	0.7242880443	0.7214166535000001	0.7353096485	0.7222053009	0.7810846574	0.760078561	0.7660776890000001	0.7288491005000001	0.7434881694000001	0.7494451544	0.7270158188	0.7333040668	0.7117843626	0.7347093975
