Genome1,Genome2,DDH,CI,Distance,Prob_DDH_70,styled_Genome1,styled_Genome2
Ccu_c8Ua_181,Ccu_c8Ua_181,100,[100 - NaN%],0,98.3,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>","<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>"
Ccu_c8Ua_181,Ccu_CTNIH19,99.6,[99.4 - 99.8%],8e-4,98.19,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>",<span style='color:#FF00FF;'>Ccu</span> CTNIH19
Ccu_c8Ua_181,Cha_CTNIH20,53.1,[50.4 - 55.7%],0.0649,28.43,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>",<span style='color:#0ABF00;'>Cha</span> CTNIH20
Ccu_c8Ua_181,Cha_CTNIH21,52.2,[49.5 - 54.8%],0.0668,25.46,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>",<span style='color:#0ABF00;'>Cha</span> CTNIH21
Ccu_c8Ua_181,Cha_CTNIH22,51.7,[49 - 54.3%],0.0679,23.99,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>","<span style='color:#0ABF00;'>Cha</span> CTNIH22<sup style=""vertical-align: super;"">T</sup>"
Ccu_c8Ua_181,Cha_CTNIH23,51.9,[49.3 - 54.6%],0.0673,24.74,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>",<span style='color:#0ABF00;'>Cha</span> CTNIH23
Ccu_c8Ua_181,Cke_CTNIH24,31.6,[29.2 - 34.1%],0.1337,0.2,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>",<span style='color:#8200E7;'>Cna</span> CTNIH24
Ccu_c8Ua_181,Cke_CTNIH27,31.6,[29.2 - 34.1%],0.1336,0.2,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>",<span style='color:#8200E7;'>Cna</span> CTNIH27
Ccu_c8Ua_181,Cke_EYE_437,31.6,[29.2 - 34.1%],0.134,0.2,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>",<span style='color:#8200E7;'><span style='color:#8200E7;'>Cke</span></span> EYE_437
Ccu_c8Ua_181,Cke_FDAARGOS_1055,32,[29.6 - 34.5%],0.1316,0.24,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>",<span style='color:#8200E7;'>Cke</span> FDAARGOS 1055
Ccu_c8Ua_181,Cke_LK1134,31.6,[29.2 - 34.2%],0.1335,0.2,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>",<span style='color:#8200E7;'><span style='color:#8200E7;'>Cke</span></span> LK1134
Ccu_c8Ua_181,Cke_YSMAA5_1_D11,31.6,[29.2 - 34.1%],0.1336,0.2,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>",<span style='color:#8200E7;'>Cke</span> YSMAA5_1_D11
Ccu_c8Ua_181,Cmq_c19Ua_121,34.6,[32.2 - 37.1%],0.1198,0.58,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>","<span style='color:#39D9E5;'>Cmq</span> c19Ua 121<sup style=""vertical-align: super;"">T</sup>"
Ccu_c8Ua_181,Cmq_KPL4083,34.4,[31.9 - 36.9%],0.1209,0.53,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>",<span style='color:#39D9E5;'>Cmq</span> KPL4083
Ccu_c8Ua_181,Cmq_MSK144,34.7,[32.2 - 37.2%],0.1195,0.59,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>",<span style='color:#39D9E5;'>Cmq</span> MSK144
Ccu_c8Ua_181,Cna_KPL2825,31.5,[29.1 - 34%],0.1343,0.19,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>",<span style='color:#8200E7;'>Cna</span> KPL2825
Ccu_c8Ua_181,Cna_KPL3649,31.5,[29.1 - 34%],0.1344,0.19,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>",<span style='color:#8200E7;'>Cna</span> KPL3649
Ccu_c8Ua_181,Cna_KPL3804,31.6,[29.2 - 34.1%],0.1338,0.2,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>","<span style='color:#8200E7;'>Cna</span> KPL3804<sup style=""vertical-align: super;"">T</sup>"
Ccu_c8Ua_181,Cna_KPL4035,31.5,[29.1 - 34%],0.1341,0.19,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>",<span style='color:#8200E7;'>Cna</span> KPL4035
Ccu_c8Ua_181,Cna_KPL4072,31.5,[29.1 - 34%],0.1343,0.19,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>",<span style='color:#8200E7;'>Cna</span> KPL4072
Ccu_c8Ua_181,Cna_MSK071,31.5,[29.1 - 34%],0.1343,0.19,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>",<span style='color:#8200E7;'>Cna</span> MSK071
Ccu_c8Ua_181,Cna_MSK185,31.5,[29.1 - 34%],0.1342,0.19,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>",<span style='color:#8200E7;'>Cna</span> MSK185
Ccu_c8Ua_181,Cna_MSK194,31.6,[29.2 - 34.1%],0.1338,0.2,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>",<span style='color:#8200E7;'>Cna</span> MSK194
Ccu_c8Ua_181,Ctu_DSM_44922,34.5,[32 - 37%],0.1205,0.55,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>","<span style='color:#002BFF;'>Ctu</span> DSM 44922<sup style=""vertical-align: super;"">T</sup>"
Ccu_c8Ua_181,Ctu_KPL3807,34.8,[32.4 - 37.3%],0.1189,0.62,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>",<span style='color:#002BFF;'>Ctu</span> KPL3807
Ccu_c8Ua_181,Ctu_MSK207,34.7,[32.3 - 37.2%],0.1194,0.6,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>",<span style='color:#002BFF;'>Ctu</span> MSK207
Ccu_c8Ua_181,Ctu_SK141,34.5,[32 - 37%],0.1204,0.56,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>",<span style='color:#002BFF;'>Ctu</span> SK141
Ccu_c8Ua_181,Cyo_c21Ua_68,31.6,[29.2 - 34.1%],0.1338,0.2,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>","<span style='color:#0A6003;'><span style='color:#0A6003;'>Cyo</span></span> c21Ua 68<sup style=""vertical-align: super;"">T</sup>"
Ccu_c8Ua_181,Cyo_KPL2619,31.6,[29.2 - 34.1%],0.134,0.2,"<span style='color:#FF00FF;'>Ccu</span> c8Ua 181<sup style=""vertical-align: super;"">T</sup>",<span style='color:#0A6003;'><span style='color:#0A6003;'>Cyo</span></span> KPL2619
