,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
LK1134,CT01,97.40,[95.9 - 98.4%],0.0337,99.13,84.20,[81.4 - 86.6%],0.0186,93.29,97.30,[96 - 98.2%],0.0516,99.92,0.05
LK1134,CTNIH2,92.00,[89 - 94.2%],0.0699,97.92,78.00,[75 - 80.7%],0.0258,88.87,92.30,[89.9 - 94.2%],0.0939,99.66,0.28
LK1134,CTNIH6,93.40,[90.7 - 95.3%],0.0616,98.29,81.90,[79 - 84.4%],0.0212,91.92,94.00,[91.8 - 95.6%],0.0814,99.78,0.23
LK1134,CTNIH14,95.40,[93.3 - 96.9%],0.0484,98.76,85.70,[83.1 - 88%],0.0168,94.09,96.00,[94.3 - 97.2%],0.0644,99.88,0.11
LK1134,CTNIH24,91.90,[88.9 - 94.1%],0.0705,97.89,77.90,[75 - 80.6%],0.0258,88.84,92.20,[89.8 - 94.1%],0.0945,99.65,0.27
LK1134,CTNIH27,92.70,[89.9 - 94.8%],0.0656,98.12,81.90,[79 - 84.4%],0.0212,91.93,93.50,[91.2 - 95.2%],0.0854,99.75,0.36
LK1134,EYE_346,93.80,[91.2 - 95.7%],0.0591,98.39,80.70,[77.8 - 83.3%],0.0225,91.13,94.10,[92 - 95.7%],0.0803,99.79,0.09
LK1134,EYE_437,94.40,[92 - 96.1%],0.0552,98.54,84.90,[82.1 - 87.2%],0.0178,93.65,95.10,[93.2 - 96.5%],0.0720,99.84,0.04
LK1134,FDAARGOS_1055,93.30,[90.6 - 95.3%],0.0619,98.28,86.40,[83.8 - 88.7%],0.0160,94.41,94.50,[92.5 - 96%],0.0769,99.81,0.20
LK1134,KPL2825,91.70,[88.7 - 93.9%],0.0715,97.83,84.90,[82.2 - 87.3%],0.0177,93.67,93.10,[90.8 - 94.9%],0.0880,99.72,0.07
LK1134,KPL3649,95.30,[93 - 96.8%],0.0497,98.72,81.70,[78.9 - 84.3%],0.0213,91.83,95.40,[93.5 - 96.7%],0.0700,99.85,0.15
LK1134,KPL3804,92.70,[89.8 - 94.8%],0.0658,98.11,80.70,[77.8 - 83.3%],0.0225,91.14,93.30,[91 - 95%],0.0869,99.73,0.15
LK1134,KPL4035,91.90,[88.9 - 94.1%],0.0705,97.88,76.50,[73.5 - 79.3%],0.0276,87.46,92.00,[89.5 - 93.9%],0.0961,99.63,0.24
LK1134,KPL4072,92.50,[89.6 - 94.6%],0.0668,98.06,79.10,[76.2 - 81.8%],0.0244,89.88,92.90,[90.5 - 94.7%],0.0896,99.71,0.19
LK1134,LK1134,100.00,[100 - NaN%],0.0000,99.62,100.00,[100 - NaN%],0.0000,98.3,100.00,[100 - NaN%],0.0000,99.99,0.00
LK1134,MSK071,95.30,[93.1 - 96.8%],0.0495,98.73,81.50,[78.6 - 84.1%],0.0216,91.69,95.40,[93.5 - 96.7%],0.0700,99.85,0.15
LK1134,MSK163,93.10,[90.3 - 95.1%],0.0634,98.22,80.70,[77.8 - 83.3%],0.0225,91.12,93.60,[91.4 - 95.3%],0.0845,99.76,0.14
LK1134,MSK185,96.70,[94.8 - 97.9%],0.0398,98.99,83.70,[80.9 - 86.1%],0.0191,93.03,96.70,[95.2 - 97.7%],0.0581,99.9,0.00
LK1134,MSK194,93.20,[90.5 - 95.2%],0.0626,98.25,80.70,[77.8 - 83.3%],0.0225,91.11,93.70,[91.5 - 95.3%],0.0837,99.76,0.14
LK1134,P5_C4,91.10,[88 - 93.5%],0.0748,97.65,76.10,[73.1 - 78.9%],0.0281,87,91.30,[88.7 - 93.3%],0.1008,99.57,0.34
LK1134,P7_C1,94.10,[91.5 - 95.9%],0.0574,98.46,79.40,[76.5 - 82.1%],0.0240,90.14,94.10,[92 - 95.7%],0.0801,99.79,0.13
LK1134,P7_F1,94.30,[91.8 - 96%],0.0561,98.5,79.40,[76.5 - 82.1%],0.0240,90.12,94.30,[92.2 - 95.9%],0.0788,99.8,0.10
LK1134,SB,81.30,[77.4 - 84.7%],0.1259,92.24,67.40,[64.4 - 70.2%],0.0399,73.01,81.50,[78.2 - 84.5%],0.1607,96.59,1.16
LK1134,YSMAA1_1_C6,96.80,[95.1 - 98%],0.0385,99.02,84.00,[81.2 - 86.5%],0.0187,93.21,96.80,[95.4 - 97.9%],0.0565,99.91,0.22
LK1134,YSMAA1_2_B7,94.00,[91.4 - 95.8%],0.0579,98.44,85.00,[82.2 - 87.3%],0.0177,93.71,94.80,[92.9 - 96.3%],0.0745,99.83,0.01
LK1134,YSMAA1_2_G9,92.90,[90.1 - 94.9%],0.0646,98.17,82.40,[79.6 - 84.9%],0.0206,92.26,93.70,[91.5 - 95.3%],0.0838,99.76,0.00
LK1134,YSMAA3_1_H1,90.30,[87.1 - 92.8%],0.0791,97.4,81.80,[78.9 - 84.4%],0.0213,91.87,91.60,[89.1 - 93.6%],0.0986,99.6,0.19
LK1134,YSMAA5_1_D11,93.10,[90.3 - 95.1%],0.0635,98.21,80.40,[77.5 - 83%],0.0229,90.9,93.50,[91.3 - 95.2%],0.0849,99.75,0.20
