Assembly Accession,Species,Strain ID,Strain Alias,File Name,length,# tRNA,# rRNA,# CDS,# Contigsa,L90a,GC Content %,Assembly Stats Contig L50,Assembly Stats Contig N50,Assembly Stats GC Count,Assembly Stats GC Percent,Assembly Stats Genome Coverage,Assembly Stats Number of Component Sequences,Assembly Stats Number of Contigs,Assembly Stats Number of Scaffolds,Assembly Stats Scaffold L50,Assembly Stats Scaffold N50,Assembly Stats Total Number of Chromosomes,Assembly Stats Total Sequence Length,Assembly Stats Total Ungapped Length,CheckM completeness,CheckM completeness percentile,CheckM contamination,CheckM marker set,CheckM marker set rank,CheckM species tax id,CheckM version
GCF_027570035.1,C. curieae,c8Ua_181,NA,Ccu_c8Ua_181.fasta,2424183,51,6,2268,30,8,0.58489999999999998,2,360498,1463038,58.5,694.0x,30,30,NA,NA,NA,NA,2501310,2501310,99.9,100,0.5,Corynebacterium,genus,2913500,v1.2.2
GCF_032821675.1,C. curieae,CTNIH19,NA,Ccu_CTNIH19.fasta,2501310,52,3,2347,40,15,0.58599999999999997,6,158242,1419180,58.5,101.0x,28,28,NA,NA,NA,NA,2421743,2421743,99.9,100,0.5,Corynebacterium,genus,2913500,v1.2.3
GCF_030503735.1,C. hallux (previously 'C. tuberculostearicum'),CTNIH20,NA,Cha_CTNIH20.fasta,2453001,51,6,2324,114,29,0.58299999999999996,1,2428054,1462010,58.5,270.0x,4,4,4,1,2428054,4,2502512,2502512,99.9,100,NA,Corynebacterium,genus,38304,v1.2.3
GCF_032821695.1,C. hallux (previously 'C. tuberculostearicum'),CTNIH21,NA,Cha_CTNIH21.fasta,2491657,51,9,2356,67,15,0.58450000000000002,4,253470,1453902,58.5,106.0x,38,38,NA,NA,NA,NA,2486903,2486903,99.9,100,0.41,Corynebacterium,genus,38304,v1.2.2
GCF_032821755.1,C. hallux (previously 'C. tuberculostearicum'),CTNIH22,NA,Cha_CTNIH22.fasta,2531484,52,6,2427,66,21,0.58450000000000002,8,125701,1477149,58.5,105.0x,48,48,NA,NA,NA,NA,2527327,2527327,99.49,26.923077,0.06,Corynebacterium,genus,38304,v1.2.2
GCF_030450155.1,C. hallux (previously 'C. tuberculostearicum'),CTNIH23,NA,Cha_CTNIH23,2421134,51,5,2293,54,12,0.58550000000000002,1,2438263,1432418,58.5,275.0x,2,2,2,1,2438263,2,2448919,2448919,99.9,100,0.41,Corynebacterium,genus,38304,v1.2.3
GCF_027570155.1,C. marquesiae,c19Ua_121,NA,Cmq_c19Ua_121.fasta,2368749,53,3,2243,34,10,0.5948,4,252544,1461093,59.5,685.0x,34,34,NA,NA,NA,NA,2456581,2456581,99.9,94.117645,NA,Corynebacterium,genus,2913503,v1.2.2
GCF_037908305.1,C. marquesiae,KPL4083,NA,Cmq_KPL4083.fasta,2331778,51,3,2244,139,25,0.59489999999999998,9,88367,1407261,59.5,82.0x,58,58,NA,NA,NA,NA,2364178,2364178,99.69,5.882353,NA,Corynebacterium,genus,2913503,v1.2.2
GCF_030228985.1,C. marquesiae,MSK144,NA,Cmq_MSK144.fasta,2456581,51,3,2338,58,18,0.59570000000000001,6,157913,1389032,59.5,108.0x,57,58,57,6,157913,NA,2331778,2331678,99.9,94.117645,NA,Corynebacterium,genus,2913503,v1.2.2
GCF_001057615.1,C. marquesiae (previously 'C. aurimucosum E'),620_CAUR,NA,Cau_620_CAUR.fasta,2413067,41,3,2301,120,34,0.59419999999999995,11,83721,1433761,59.5,37.0x,119,120,119,11,83721,NA,2413067,2412967,79.51,11.111111,4.52,Corynebacterium aurimucosum,species,169292,v1.2.2
GCF_022347295.1,C. nasorum  (previously 'C. sp'),CTNIH24,NA,Cke_CTNIH24.fasta,2462295,52,6,2352,59,17,0.58379999999999999,6,165082,1434429,58.5,86.0x,40,40,NA,NA,NA,NA,2457496,2457496,99.9,100,NA,Corynebacterium,genus,1979527,v1.2.2
GCF_022345795.1,C. nasorum  (previously 'C. sp'),CTNIH27,NA,Cke_CTNIH27.fasta,2549633,51,6,2431,115,19,0.58289999999999997,5,113640,1477222,58.5,86.0x,39,39,NA,NA,NA,NA,2528625,2528625,99.9,100,1.29,Corynebacterium,genus,1979527,v1.2.2
GCF_023147545.1,C. nasorum ('C. kefirresidentii'),EYE_437,NA,Cke_EYE_437.fasta,2561832,54,8,2451,21,10,0.5867,3,446691,1414132,58.5,200.0x,12,12,NA,NA,NA,NA,2414960,2414960,99.9,100,NA,Corynebacterium,genus,1979527,v1.2.2
GCF_016599755.1,C. nasorum ('C. kefirresidentii'),FDAARGOS_1055,NA,Cke_FDAARGOS_1055.fasta,2523206,51,12,2349,2,1,0.58450000000000002,1,2470582,1474752,58.5,1305.0x,2,2,2,1,2470582,2,2523206,2523206,99.85,50,NA,Corynebacterium,genus,1979527,v1.2.2
