	SB	EYE_346	YSMAA5_1_D11	KPL3804	MSK163	MSK194	CTNIH2	CTNIH24	KPL4035	P5_C4	CTNIH14	YSMAA1_2_G9	YSMAA1_2_B7	MSK185	CT01	LK1134	P7_C1	P7_F1	KPL4072	KPL3649	MSK071	CTNIH27	CTNIH6	YSMAA3_1_H1	EYE_437	YSMAA1_1_C6	FDAARGOS_1055	KPL2825
SB	0.9999691873000001	0.7990788799	0.7995407435	0.7983613659000001	0.8000678681000001	0.7994441924	0.7965865409	0.7973287061000001	0.7912242826	0.7912588886	0.7855273621000001	0.7944917588	0.798146392	0.8002810759000001	0.7883911109	0.7929360725	0.7824801227	0.7985689875	0.8001314445000001	0.7999070149	0.7998533805	0.8094403784	0.8091961425	0.811543788	0.7977070656	0.7953346262000001	0.7965664506	0.7938706027
EYE_346	0.8604280361000001	1.0	0.9975876919000001	0.9953637003	0.9959652507000001	0.9970496815000001	0.9054176294	0.9065349545	0.91130692	0.9093991494	0.8961345436	0.8965188467	0.9246410691	0.9110483812	0.9108578791	0.9078071480000001	0.9014053776000001	0.9197032078	0.9168277747	0.9334131164	0.9302903650000001	0.9223028160000001	0.9213708736	0.951042397	0.8961291879000001	0.9124075045000001	0.9183164970000001	0.9172414298
YSMAA5_1_D11	0.8441411264	0.9881266642000001	1.0	0.9858252035	0.9863119937	0.9877093581	0.8932885237	0.8953890607	0.9027524096	0.899356017	0.8802466169000001	0.8789029237	0.9046428225	0.8993298935	0.8980838267000001	0.8962620624000001	0.8911518329	0.9132517654000001	0.910118478	0.9222172981000001	0.9166804664	0.9133760557	0.9131817674	0.9351688938	0.8770141395000001	0.9024300063	0.9004830519	0.8964482735
KPL3804	0.8468503164000001	0.9830802687	0.9828839456	0.9999983716	0.9862296221	0.9875933817	0.8947295907	0.8963854143000001	0.9040877970000001	0.9019059145	0.8856385407	0.8823753333000001	0.9121195149	0.8987851629	0.898362137	0.8946668681000001	0.8893681568	0.9098932834000001	0.9086758692	0.9242315582	0.9201198713000001	0.9142000485	0.9142415214	0.94009399	0.8830179515000001	0.9028027265	0.9075734333000001	0.9044404493
MSK163	0.8501229552	0.9848445371000001	0.9851173506	0.9879004222000001	0.999847892	0.9891837715	0.8976590298	0.8986984246	0.9073411769	0.9026910543000001	0.8863301739	0.8842557193	0.9141785453	0.9011394184	0.9004340316	0.8972614973	0.8904599820000001	0.9118408357000001	0.9105604613	0.9263716930000001	0.9245250875000001	0.9178116758	0.9173800653	0.9425542908000001	0.8847843589000001	0.9051030252000001	0.9091359374	0.9074624767
MSK194	0.854239947	0.9890208833	0.9895611360000001	0.9920956465	0.9926748281000001	0.9999987698	0.8985240090000001	0.8996229079	0.9057195079	0.9069280455000001	0.8895077051	0.8882007256000001	0.9162994762000001	0.9039037465	0.9037510949	0.8999645569	0.8938987174	0.912925669	0.9142067570000001	0.9273041221	0.9248416026	0.9185476813000001	0.9169545551	0.9482211934	0.8899830562000001	0.9064304045	0.9123816906000001	0.9113318843
CTNIH2	0.8488376449	0.8952655644	0.8951126005000001	0.8958362432	0.8983789737000001	0.8963866148	0.9999983706000001	0.9985740357	0.9033654285	0.9116373778	0.8825255289	0.8836532010000001	0.8897794221	0.8876585181000001	0.8789850865000001	0.8896374754	0.8933139514	0.9133914438	0.9017367428	0.9131783053	0.9112364575	0.9021776741	0.9020646896000001	0.8810779138	0.8759257887	0.8887388494	0.8855781097000001	0.8793059705
CTNIH24	0.849281841	0.8942414156	0.8944435868	0.895171869	0.89790476	0.8959972565000001	0.9941271515000001	0.9999695436	0.9035355273000001	0.9114268353	0.8810254274	0.8815443669	0.8889868103	0.8896430783	0.8783515302	0.8897713933	0.8944585369	0.9131195478	0.9027908488	0.9139334669	0.9113646134000001	0.9022433276	0.9011565797000001	0.8803277173	0.8758732561	0.8893104716	0.8835827338000001	0.8783549721
KPL4035	0.8439330089	0.9021468195000001	0.9029563496	0.9048358234	0.9088562334	0.9039700423	0.9032111197	0.9042719276000001	1.0	0.9777670611	0.8732434557000001	0.8764136375	0.8798145954000001	0.8910876789000001	0.8778840746000001	0.8871455224	0.8944879171000001	0.9146456076	0.9094106345	0.9026012440000001	0.8977738345	0.9041337186	0.904364076	0.8918005529	0.8675183879	0.8888279856	0.8837062351	0.8873093053000001
P5_C4	0.8270709012	0.8812273813	0.8813334904000001	0.8827594362000001	0.8849104434	0.8837381071	0.8927012761	0.8938769354	0.9554339949	1.0	0.863034532	0.8617478545	0.8622227362	0.8697833178000001	0.8614420316	0.8697669165	0.8798723060000001	0.9003649405	0.8938406182	0.8907648271	0.8866070241	0.8876946669	0.8874401684000001	0.8726311818	0.852006699	0.8727839178000001	0.8681275196	0.8707705468
CTNIH14	0.845832031	0.8894564206000001	0.8902162822	0.8881003162000001	0.8903186833000001	0.8909057731000001	0.8847562539	0.8854861905	0.8775919544	0.8869705250000001	1.0	0.9024238295	0.8986207152000001	0.9042761956	0.9075210454	0.9194667321000001	0.8773505006000001	0.8979469002	0.8856424552000001	0.9037181642000001	0.9028237766	0.9078321057000001	0.9080688343000001	0.8884538846000001	0.9107217803000001	0.9184886059	0.9050582793	0.9075409878
YSMAA1_2_G9	0.8656424773	0.9028042292	0.9038531162000001	0.8999384014	0.9021042762	0.9011190693000001	0.9019983112000001	0.9014788946000001	0.8927897511	0.8935531576	0.9165187076	1.0	0.8943214593000001	0.90191747	0.9015940857	0.9091591799000001	0.8801148711000001	0.8978290205	0.8908137369	0.9059371246000001	0.9023661143	0.9224823297	0.9214944645	0.9034732271	0.8945606724	0.9189221014000001	0.898755465	0.9008709725
YSMAA1_2_B7	0.8712426256	0.9319436275	0.9335215125	0.9303866244000001	0.9326989932	0.9303574105	0.9089674003	0.9093547419	0.8979981367000001	0.8973661786	0.9141339059	0.8970114112	1.0	0.9249455834	0.9206359942000001	0.9203710690000001	0.8953111496	0.9146886144	0.9149301672000001	0.9283384309	0.9260414352	0.9214557002	0.9210339557	0.9380716855000001	0.9191921274	0.9295576213000001	0.9484195553	0.9286834854
MSK185	0.8614211118	0.9068229545000001	0.9081961228000001	0.9070701007	0.9094146211	0.9082703194	0.8941749985	0.8954637339	0.8974527528	0.8985732456000001	0.9069717951	0.8901709694000001	0.9123815503	0.9998928659	0.9139141102	0.9305889601	0.8946236545	0.9136662606	0.9037580676	0.9294921329	0.9255629936	0.9140904506	0.9138224745	0.9004243112	0.9117300415	0.9293956733000001	0.9177631023	0.909665083
CT01	0.85406168	0.9145433891	0.9151451785	0.9142216798	0.9161665886	0.9151579249	0.8913602041	0.8921700782	0.8902182889	0.8946544578000001	0.9189279007000001	0.8983854193	0.9135162269	0.922145202	0.9999917336	0.9424025386	0.8854919827000001	0.9039347585	0.8984418449	0.9304250820000001	0.9215868522	0.9168574650000001	0.91588804	0.9122363691	0.9291719156	0.9415223519	0.9214013929	0.9059186276000001
LK1134	0.860414255	0.9096264031	0.9100846755	0.9073232363	0.9096967165000001	0.9096630115000001	0.8983790898	0.90001946	0.8958140983	0.8991135385000001	0.9267726358	0.9017793124000001	0.9120249097	0.9341556549000001	0.9396475160000001	1.0	0.8891844186000001	0.9074792918000001	0.8997009083	0.9329061473	0.9286096065	0.9254714504	0.9246585391000001	0.9018244931	0.9282150761	0.9479148633000001	0.9300643337000001	0.9124315748
P7_C1	0.8639092908	0.9206720865	0.9216530984	0.9221715962	0.9240759369	0.9225858577	0.9280318855	0.9299075707000001	0.9265396046000001	0.9317542683000001	0.9093355591000001	0.893601607	0.9081695559	0.9189222523	0.902302037	0.9129828068	0.9999800189	0.9991747207	0.9284938525	0.9369613087	0.9335726189	0.9253120882	0.9244819439	0.9016160699	0.8936951449	0.9173322729000001	0.9107598553	0.9043584308
P7_F1	0.8624950920000001	0.9196872704	0.9201048488	0.9196316392	0.9228705506	0.9212379555	0.9257153081	0.9280918206000001	0.9256319093	0.9293653398	0.9043248530000001	0.8931105696	0.9072483767	0.9152140069	0.9014657707	0.9113070983	0.9755112413	1.0	0.9282644002	0.9341511845	0.9316818434	0.9239209224	0.9229005059000001	0.8989957051	0.892181769	0.9182015393	0.9101305842	0.903786246
KPL4072	0.8531557706	0.9085983073	0.9089644398000001	0.9090585974000001	0.9106445019	0.910713948	0.9013505323000001	0.9032999994	0.9100806729	0.9135416712000001	0.8804618151	0.8731952054000001	0.8944512611000001	0.8951695293	0.8868694694	0.8906756506	0.897295422	0.9163894708	0.9999955079	0.9123866083000001	0.9092149728000001	0.9220165759000001	0.921321856	0.8977167923	0.8776151138	0.8987648954	0.8974099426000001	0.8923106828
KPL3649	0.8373657922000001	0.907983254	0.9080200827	0.9094745938000001	0.9111187049	0.9096627427	0.8981655229000001	0.8993638087	0.8890401965	0.8981677853000001	0.8847970416000001	0.8700760740000001	0.8966999099	0.9060789172	0.9028960874	0.9056773788	0.895358917	0.9117166573000001	0.8999463484	0.999989568	0.9853931888	0.9178363245000001	0.9173410544	0.8905791999999999	0.8899021707	0.9124913384000001	0.9141151422	0.8930120674
MSK071	0.8334440714	0.9045378222	0.9067255336000001	0.9044499611000001	0.9083626589	0.9062995011	0.8941182021	0.8952325329	0.8833713383	0.8914168039	0.8782841522	0.8651887194000001	0.8889567972	0.9025703826	0.8938134165	0.9020695795	0.8924834297	0.9075197693	0.8929684545000001	0.9848965841	0.9981418979000001	0.913545127	0.9121640739	0.8793356177	0.8839245814000001	0.9059982865	0.9070158898	0.8858635536
CTNIH27	0.8329506130000001	0.8806573877	0.8816932969	0.8811890015	0.8846757911	0.8813926613	0.8700142875	0.8716361163	0.8728653911	0.8759936517	0.8704748392	0.8738133215	0.8683916775	0.8722637322000001	0.8685299008	0.8794529276	0.859899866	0.8787526567	0.8851543110000001	0.8986215071	0.893259043	0.9999741212000001	0.9912264671000001	0.8741739007	0.8562600333	0.8939820755000001	0.8767464935	0.8690955642
CTNIH6	0.8359365006	0.8886032042	0.8885024169	0.8890223962	0.8930802198000001	0.8892457356000001	0.8758276862000001	0.8778445575	0.8794716437000001	0.8816454579	0.8786568854000001	0.8800090872	0.8750560303	0.8793795295	0.8775334266	0.888846474	0.8640157249	0.8855081864000001	0.8930608747000001	0.9058986181	0.9020031689	0.9988174807	1.0	0.8816681722	0.8636106168000001	0.9021112503000001	0.8840327903	0.8756072901
YSMAA3_1_H1	0.8502925285	0.9248232506	0.9288057084	0.921433818	0.9238494089	0.9273873899	0.8660888075000001	0.8664004501	0.8780141428	0.8773500422	0.8683793152	0.8698933548000001	0.9036313779	0.8804101406	0.8827586086	0.8748872021	0.8543187529	0.8741974059000001	0.885021987	0.8913894776	0.8837252947	0.8920749999	0.8899387612	1.0	0.8751952997	0.8832251655000001	0.894452263	0.885818306
EYE_437	0.8491007453	0.8833219827000001	0.8844707642	0.8827813999999999	0.8848214786	0.8830652274	0.8758703695000001	0.8758695374000001	0.8667903570000001	0.8704514796	0.9029106634	0.8737391435	0.8958595933	0.9028109468000001	0.9127187006	0.9134788802	0.8587391765	0.8788510876000001	0.8749089731	0.9035046119000001	0.9046319908	0.8871052694	0.8866231764	0.8873539663000001	1.0	0.9120952686	0.9026848111	0.8868832499
