	SB	EYE_346	YSMAA5_1_D11	KPL3804	MSK163	MSK194	CTNIH27	CTNIH6	YSMAA3_1_H1	EYE_437	YSMAA1_1_C6	FDAARGOS_1055	KPL2825	CTNIH14	YSMAA1_2_G9	YSMAA1_2_B7	MSK185	CT01	LK1134	P7_C1	P7_F1	KPL4072	KPL3649	MSK071	CTNIH2	CTNIH24	KPL4035	P5_C4
SB	3.081317472093037e-05	0.22429561480958568	0.22371778678084112	0.22519394455949535	0.22305871978750536	0.22383855227143415	0.21141216095492787	0.2117139407537894	0.208816934148678	0.2260138346390678	0.22899233942790598	0.22744472486338907	0.23083479990756178	0.24139998790206202	0.23005266587225437	0.22546324973541512	0.22279226814636702	0.2377609786276105	0.2320126753509314	0.24528675919079215	0.22493391869083076	0.2229792591859005	0.22325978944459943	0.22332684248601034	0.2274195040589738	0.22648825598285166	0.23417380829524642	0.23413007196915414
EYE_346	0.1503252971589568	-0.0	0.0024152224029256727	0.004647080672908136	0.004042910861590696	0.0029546792688424093	0.08088167550865086	0.08189263800665796	0.05019663593730685	0.10967069347645815	0.09166856359476912	0.08521317980661146	0.08638455915370936	0.10966471701227398	0.10923596362585061	0.07834965017956018	0.09315927533871433	0.09336839927098825	0.09672331500971827	0.10380020291245493	0.08370426120308626	0.08683563821441115	0.06890739328317433	0.07225852113538345	0.09935897277598486	0.0981256896850832	0.09287553396120758	0.09497117293364803
YSMAA5_1_D11	0.16943558699003597	0.011944386819945293	-0.0	0.014276218492740049	0.013782550800069047	0.01236679647489149	0.09060759304823986	0.09082033014123043	0.06702813092578785	0.13123216416295436	0.10266414712893279	0.1048239353094801	0.10931468587261285	0.12755316429432098	0.12908082687252614	0.10021508445613318	0.10610535576013463	0.10749186681834835	0.10952242841410509	0.11524045873382766	0.0907436802125281	0.09418049234155784	0.08097440195756031	0.08699632284839846	0.11284565544071455	0.11049695047125632	0.10230694965061898	0.10607630844303573
KPL3804	0.166231322025191	0.017064505301976493	0.017264227249328874	1.6284013257980643e-06	0.013866069038050042	0.012484222930893936	0.08970586003264583	0.08966049582665768	0.06177541935498832	0.12440974846025583	0.10225121399457945	0.09698079787992046	0.1004388145673987	0.12144637922570446	0.12513776553601533	0.09198425045424517	0.1067112464841187	0.10718202137033578	0.11130384440966831	0.1172440045597515	0.09442795733703228	0.09576682793221242	0.07879263462386417	0.08325132253538874	0.1112337396548308	0.10938480860675538	0.10082880273063695	0.10324507200960199
MSK163	0.16237428678256619	0.015271480621899262	0.014994507241401485	0.012173373560608595	0.00015211956959504966	0.010875149150809216	0.08576305559436781	0.08623342661696083	0.05916175834813627	0.12241132592456598	0.09970650176149191	0.09526064989095129	0.09710306168696356	0.12066574102433607	0.1230089829502604	0.08972938163815353	0.10409529594151053	0.1048783745731877	0.10840793510506085	0.11601711606062651	0.09228982639735901	0.09369497751613548	0.07647972854561896	0.07847509223325347	0.10796498233863153	0.10680775729586736	0.09723673983990312	0.10237491666398758
MSK194	0.15754315627371665	0.011039832011071306	0.010493731108347431	0.007935758502423725	0.007352132714099982	1.2302007566763936e-06	0.08496146353498744	0.08669736618709169	0.053167477572171565	0.11655285441470414	0.09824102558998273	0.0916968560683009	0.09284814038224652	0.11708710963158357	0.11855751919134559	0.08741202865797336	0.10103239936945696	0.10120129400228924	0.10539989765550922	0.1121628017254709	0.09110081572118495	0.08969852195013606	0.07547369591461939	0.0781327965654611	0.10700185191352486	0.10577959468139687	0.09902561480261175	0.0976921644285363
CTNIH27	0.18278092668815016	0.12708661892174217	0.12591101939055097	0.1264831454073741	0.1225340388323828	0.12625205279452706	2.5879134861856312e-05	0.0088122469454095	0.13447595206608456	0.15518117175172624	0.11206955378590862	0.1315373893995593	0.1403021894523344	0.13871642403998058	0.1348885171014979	0.14111242474110539	0.13666345561699583	0.14095326579919498	0.12845523801060046	0.15093933139737184	0.1292518125901397	0.1219932864617539	0.1068933486240337	0.11287865842429265	0.13924564505456094	0.13738323998722402	0.1359739262110565	0.13239643498981288
CTNIH6	0.17920262500235087	0.11810448258991363	0.11821791118854216	0.11763285120963207	0.11307887033736116	0.11738166366689821	0.0011832190276294652	-0.0	0.12593951576006102	0.1466332867625814	0.10301742916352127	0.12326112393287807	0.13283758753437466	0.1293608040321462	0.127823045199565	0.13346736004608048	0.12853870030940712	0.13064023137618275	0.11783075354486372	0.14616431022796078	0.12159357685562501	0.11310053167202318	0.0988278797523679	0.10313724573278	0.13258591264590242	0.13028574259248338	0.1284339567114406	0.12596527895908985
YSMAA3_1_H1	0.16217483752773684	0.07815264016033598	0.07385570262250983	0.08182432431035429	0.07920619800366178	0.0753839043783804	0.11420506933132242	0.11660262626375521	-0.0	0.1333082178727174	0.12417511031904382	0.11154374470171577	0.12124342164200501	0.14112666069973456	0.1393846555367895	0.10133376955959575	0.1273674112226066	0.12470349219626983	0.13366031282008817	0.15745090787738064	0.13444906395609016	0.12214279021501966	0.11497382289205717	0.12360901723989845	0.14376782660128642	0.1434080637894893	0.13009257750408723	0.1308492303256035
EYE_437	0.16357743622428966	0.12406549852612274	0.12276581940511566	0.12467767414639253	0.12236937341828598	0.12435621089127144	0.11979162344392874	0.12033521625038435	0.11951131618566666	-0.0	0.0920108331792847	0.10238183289691145	0.12004192889826933	0.1021316635712041	0.13497341069013707	0.10997158219279655	0.1022421087245855	0.0913275503517987	0.09049502308103782	0.15229003930957694	0.12913980679768258	0.13363542877895276	0.1014740644803138	0.10022705798267603	0.13253717901870044	0.1325381290455814	0.14295813420876405	0.13874325986841185
