	Cmq_c19Ua_121	Ctu_DSM_44922	Ccu_CTNIH19	Ccu_c8Ua_181	Cha_CTNIH22	Cha_CTNIH20	Cha_CTNIH21	Cha_CTNIH23	Cke_CTNIH27	Cke_EYE_437	Cke_FDAARGOS_1055	Cna_KPL2825	Cke_YSMAA5_1_D11	Cna_KPL3804	Cna_MSK194	Cke_LK1134	Cna_MSK185	Cna_KPL3649	Cna_MSK071	Cke_CTNIH24	Cna_KPL4035	Cna_KPL4072	Ctu_MSK207	Cmq_KPL4083	Cmq_MSK144	Ctu_KPL3807	Ctu_SK141	Cyo_MSK136	Cyo_KPL2619	Cyo_c21Ua_68
Cmq_c19Ua_121	0.9999975576000001	0.8403415153	0.8338450879	0.8376393858000001	0.854208756	0.8555472016000001	0.8445119457	0.8375384325	0.8518746176	0.837197308	0.8548230244	0.8509053844000001	0.8505333225	0.8496117164	0.8513547894	0.8462244884000001	0.8461634280000001	0.8477180276	0.8480184451	0.8501075275000001	0.8487576840000001	0.8492408758000001	0.8587870703	0.8654056186	0.8668144873	0.8486164307	0.8627112234000001	0.8517325502	0.8478450334000001	0.8492876889000001
Ctu_DSM_44922	0.8541838893	1.0	0.8163814033	0.8179940094	0.840937366	0.8394943363	0.8354522227000001	0.8357294148000001	0.8476254417	0.8473759687	0.854462712	0.8373937906000001	0.8402166664	0.8339089147000001	0.8362344752	0.8440781975	0.8492278568	0.847812954	0.8438894623000001	0.8498857805000001	0.8322563603	0.8328698518000001	0.8622730082000001	0.8496383458000001	0.8365646600000001	0.8503089062	0.8844222908	0.841821935	0.8416853771	0.8423946629
Ccu_CTNIH19	0.8438815572	0.8204129981	0.9999888640000001	0.9676927347000001	0.8606037459	0.8604160832000001	0.8651088877	0.8550852257	0.8561146895	0.8458959408000001	0.8516499674	0.8529145252	0.8514004379000001	0.8495827908	0.8511595698000001	0.8534511168000001	0.8502942592	0.8513917766	0.8500154461	0.8541271149	0.8474566345000001	0.8469443772	0.8503676745000001	0.8417248799	0.8385898820000001	0.8281979062	0.845924812	0.8420676221000001	0.8409717545000001	0.8424829547
Ccu_c8Ua_181	0.8260055731	0.7966205708	0.9407278586000001	1.0	0.8371505331	0.8395192919000001	0.8508065774	0.8287733228	0.8334920502000001	0.8169439214	0.8423142273	0.8357548645	0.8296172805	0.8293878008000001	0.8312376315000001	0.8272161387	0.8283531430000001	0.8313511720000001	0.8299147247	0.8336499674000001	0.829419784	0.826438946	0.8219461002	0.8170034902000001	0.8154794887	0.8062583206	0.818635435	0.8383870852	0.8204652762	0.8229555713000001
Cha_CTNIH22	0.8339652940000001	0.8095978503	0.8292126551000001	0.8271388553	0.999982228	0.8819122875000001	0.8916632143000001	0.8736111643000001	0.8194178906	0.8092483335	0.8249134008000001	0.8211990441	0.8254370836	0.8256333659	0.8267198301	0.8172121828000001	0.8181023646000001	0.8206860245	0.8192776889000001	0.8175395833	0.8115184156	0.8197002686	0.8182879837	0.8231602876	0.8115602786	0.8215047232	0.8107186737000001	0.8301620771	0.8092696599	0.8139444967
Cha_CTNIH20	0.8646622423	0.830116807	0.8534146544000001	0.8566840131000001	0.9163934052	0.9999779978000001	0.9262210386	0.9119774893	0.8474280285	0.8353818435	0.8578163096	0.8502870875	0.847106145	0.8465230876000001	0.8474145827	0.8462374669	0.8389457867000001	0.8405103850000001	0.8405160893	0.8415363378	0.8360924319	0.8389449718	0.8469920597	0.8487106732	0.8409320932000001	0.8444581437	0.8310836799	0.8457489374	0.8411936745	0.8401799451
Cha_CTNIH21	0.837237462	0.8172054396	0.8458879907	0.852521881	0.9059198847000001	0.9072971991000001	0.9999955881	0.9305739719	0.8336790657	0.8237956120000001	0.8551381365	0.8360362225	0.8366466687	0.8352645414000001	0.8376249068	0.8277145807	0.8289647521	0.8329619317	0.8307684163	0.8280350449	0.8206884326	0.8288175552	0.8333016479	0.8357670967	0.8282596506000001	0.8344936625	0.8170770935	0.8391466106000001	0.8169331052000001	0.8215234845
Cha_CTNIH23	0.8517830977	0.8343279354	0.8622051504	0.8577783798	0.9083515184000001	0.9172992198000001	0.9560345981	1.0	0.8506990159000001	0.8400560171	0.8566013767	0.8455577838	0.8509889304	0.8492391191	0.8500341124	0.8454409095000001	0.8378705082000001	0.8475764474	0.8444447932	0.8458121817	0.8362032936	0.8437509808	0.8446661524	0.8541965736	0.843394576	0.8529456464	0.8369578146000001	0.8384470332	0.8345146039	0.8345877020000001
Cke_CTNIH27	0.8267951458	0.8071021624	0.8209477131	0.8203975925	0.8143972396	0.8101037113	0.8133722822	0.8064069638	0.9999741212000001	0.8774689748000001	0.893626365	0.8865681181	0.9028298077	0.9025408277	0.9025514145	0.8999502029	0.8932409277000001	0.9156617719000001	0.9098735468	0.8925453369	0.8958229263	0.9065696865	0.8161864058	0.8169188543	0.8228588233	0.7999894132	0.8208461584000001	0.8484270786	0.8405058129	0.8468025957
Cke_EYE_437	0.8405035927000001	0.8364596117	0.8477058605000001	0.8376486046	0.831423372	0.8301125913	0.8354954579	0.8297866527000001	0.9071410616000001	1.0	0.9200396435	0.9040311777000001	0.9041935615000001	0.9023968004	0.9026852659	0.9297022599	0.9227755762000001	0.9244880226000001	0.9255766967	0.8978684004	0.8898444551	0.8944977657000001	0.8433402346000001	0.8463853211	0.8376739771	0.8186836608	0.8511572968000001	0.8704813587	0.8659084593	0.8687653991000001
