enzyme	genome_name	db_name	gene_caller_id	contig	modules_with_enzyme	enzyme_definition	warnings
K25026	Ccu_c8Ua_181	Ccu_c8Ua_181	459	c_000000000001	M00001,M00549	glucokinase [EC:2.7.1.2]	None
K00886	Ccu_c8Ua_181	Ccu_c8Ua_181	230	c_000000000001	M00001,M00549	polyphosphate glucokinase [EC:2.7.1.63]	None
K01810	Ccu_c8Ua_181	Ccu_c8Ua_181	1299	c_000000000012	M00001,M00004	glucose-6-phosphate isomerase [EC:5.3.1.9]	None
K21071	Ccu_c8Ua_181	Ccu_c8Ua_181	1024	c_000000000012	M00001,M00345	ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]	None
K01624	Ccu_c8Ua_181	Ccu_c8Ua_181	2068	c_000000000026	M00001,M00003,M00165,M00345,M00344,M00611,M00612	fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	None
K01803	Ccu_c8Ua_181	Ccu_c8Ua_181	132	c_000000000001	M00001,M00002,M00003,M00165	triosephosphate isomerase (TIM) [EC:5.3.1.1]	None
K00134	Ccu_c8Ua_181	Ccu_c8Ua_181	1227	c_000000000012	M00001,M00002,M00003,M00308,M00552,M00165,M00611,M00612	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]	None
K00134	Ccu_c8Ua_181	Ccu_c8Ua_181	134	c_000000000001	M00001,M00002,M00003,M00308,M00552,M00165,M00611,M00612	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]	None
K00927	Ccu_c8Ua_181	Ccu_c8Ua_181	133	c_000000000001	M00001,M00002,M00003,M00308,M00552,M00165,M00611,M00612	phosphoglycerate kinase [EC:2.7.2.3]	None
K01834	Ccu_c8Ua_181	Ccu_c8Ua_181	2186	c_000000000028	M00001,M00002,M00003	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	None
K01689	Ccu_c8Ua_181	Ccu_c8Ua_181	1209	c_000000000012	M00001,M00002,M00003,M00346	enolase 1/2/3 [EC:4.2.1.11]	None
K00873	Ccu_c8Ua_181	Ccu_c8Ua_181	382	c_000000000001	M00001,M00002	pyruvate kinase [EC:2.7.1.40]	None
K01596	Ccu_c8Ua_181	Ccu_c8Ua_181	2011	c_000000000026	M00003	phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]	None
K02446	Ccu_c8Ua_181	Ccu_c8Ua_181	1182	c_000000000012	M00003,M00165,M00611,M00612	fructose-1,6-bisphosphatase II [EC:3.1.3.11]	None
K00163	Ccu_c8Ua_181	Ccu_c8Ua_181	514	c_000000000001	M00307	pyruvate dehydrogenase E1 component [EC:1.2.4.1]	None
K00627	Ccu_c8Ua_181	Ccu_c8Ua_181	478	c_000000000001	M00307	pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]	None
K00382	Ccu_c8Ua_181	Ccu_c8Ua_181	941	c_000000000005	M00307,M00009,M00011,M00532,M00621,M00036,M00032	dihydrolipoyl dehydrogenase [EC:1.8.1.4]	None
K01647	Ccu_c8Ua_181	Ccu_c8Ua_181	1326	c_000000000012	M00009,M00010,M00012,M00740	citrate synthase [EC:2.3.3.1]	None
K01659	Ccu_c8Ua_181	Ccu_c8Ua_181	1515	c_000000000023	M00009,M00010,M00012,M00740,M00982	2-methylcitrate synthase [EC:2.3.3.5]	None
K27802	Ccu_c8Ua_181	Ccu_c8Ua_181	102	c_000000000001	M00009,M00010,M00012,M00740,M00982,M00173	aconitate hydratase A / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]	None
K00031	Ccu_c8Ua_181	Ccu_c8Ua_181	1538	c_000000000023	M00009,M00010,M00740,M00173,M00614	isocitrate dehydrogenase [EC:1.1.1.42]	None
K01616	Ccu_c8Ua_181	Ccu_c8Ua_181	1121	c_000000000012	M00009,M00011	multifunctional 2-oxoglutarate metabolism enzyme [EC:2.2.1.5 4.1.1.71 1.2.4.2 2.3.1.61]	None
K18118	Ccu_c8Ua_181	Ccu_c8Ua_181	872	c_000000000003	M00009,M00011	succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]	None
K00239	Ccu_c8Ua_181	Ccu_c8Ua_181	944	c_000000000005	M00009,M00011,M00982,M00173,M00376,M00374,M00149,M00613,M00614	succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]	None
K00240	Ccu_c8Ua_181	Ccu_c8Ua_181	945	c_000000000005	M00009,M00011,M00982,M00173,M00376,M00374,M00149,M00613,M00614	succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]	None
K00241	Ccu_c8Ua_181	Ccu_c8Ua_181	943	c_000000000005	M00009,M00011,M00982,M00173,M00376,M00374,M00149,M00613,M00614	succinate dehydrogenase cytochrome b subunit	None
K01679	Ccu_c8Ua_181	Ccu_c8Ua_181	1183	c_000000000012	M00009,M00011,M00982,M00173,M00376,M00613,M00614	fumarate hydratase, class II [EC:4.2.1.2]	None
K00024	Ccu_c8Ua_181	Ccu_c8Ua_181	733	c_000000000001	M00009,M00011,M00012,M00740,M00982,M00168,M00173,M00374,M00620,M00346,M00614	malate dehydrogenase [EC:1.1.1.37]	None
K00116	Ccu_c8Ua_181	Ccu_c8Ua_181	319	c_000000000001	M00009,M00011,M00982	malate dehydrogenase (quinone) [EC:1.1.5.4]	None
K00036	Ccu_c8Ua_181	Ccu_c8Ua_181	128	c_000000000001	M00004,M00006,M00008	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	None
K01057	Ccu_c8Ua_181	Ccu_c8Ua_181	130	c_000000000001	M00004,M00006,M00008	6-phosphogluconolactonase [EC:3.1.1.31]	None
K00033	Ccu_c8Ua_181	Ccu_c8Ua_181	50	c_000000000001	M00004,M00006	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	None
