	SB	CTNIH27	CTNIH6	YSMAA3_1_H1	FDAARGOS_1055	EYE_437	YSMAA1_1_C6	EYE_346	YSMAA5_1_D11	MSK194	KPL3804	MSK163	CTNIH2	CTNIH24	KPL4035	P5_C4	KPL2825	CTNIH14	YSMAA1_2_G9	KPL4072	KPL3649	MSK071	P7_C1	P7_F1	YSMAA1_2_B7	MSK185	CT01	LK1134
SB	0.9999691873000001	0.8444070888	0.8440533129000001	0.8452241969000001	0.8307482968000001	0.8306832477	0.8288337227	0.8334373739000001	0.8336876798	0.8335572012	0.8323113775000001	0.8341997038000001	0.8291452737	0.8299319495	0.8249946839000001	0.8251807015	0.8278153807	0.8185681359	0.8278583664	0.8331376154	0.8347600392000001	0.8346816759	0.8145510679	0.8313124362000001	0.8314071568	0.8342514388000001	0.8214063314000001	0.8266444967000001
CTNIH27	0.8686690062	0.9999741212000001	0.9914850903	0.8953453448	0.893626365	0.8774689748000001	0.9138110455	0.9019299312	0.9028298077	0.9025514145	0.9025408277	0.9063058012	0.8908236124000001	0.8925453369	0.8958229263	0.8991577627	0.8865681181	0.8903832807000001	0.8933938479	0.9065696865	0.9156617719000001	0.9098735468	0.8811182779000001	0.9002972141000001	0.8862285569	0.8932409277000001	0.8901021428	0.8999502029
CTNIH6	0.8717254872	0.9988291538	1.0	0.9021516673000001	0.900113762	0.8841364574	0.9208939095	0.9093246828	0.9090762735000001	0.9099745816	0.9098606614	0.9142580593	0.8966016188	0.8987831110000001	0.9026227747000001	0.9050866940000001	0.8920274073000001	0.8978848030000001	0.8988859556000001	0.9140729390000001	0.9224516096	0.9181653630000001	0.8842721331000001	0.9061187001000001	0.8918889626000001	0.8994397342	0.8982499013	0.9087135485000001
YSMAA3_1_H1	0.8846280932	0.9124028780000001	0.910103078	1.0	0.9112962763	0.8946302083000001	0.9026126655000001	0.9314178309000001	0.934756392	0.9332587086	0.9273270361	0.9298882225	0.8864258721	0.8867131974	0.9001528411	0.8998938492	0.903971874	0.8886239111	0.8891319183	0.9046047880000001	0.9075642392000001	0.8999604928	0.873497029	0.8936999924000001	0.9186869231	0.8999580984000001	0.9005882189000001	0.8941202058000001
FDAARGOS_1055	0.8629941432	0.9044311087	0.9030202052	0.9048856891	1.0	0.8993062794000001	0.9108677611	0.9047505436000001	0.9060532513	0.9039388778	0.903866351	0.9041861822	0.8816125199	0.8826679233	0.8858472118	0.8882798313	0.9027142453	0.8906545879000001	0.8761896571000001	0.8949923233	0.9225414017	0.9204718124000001	0.8746836366	0.8941592561	0.9170622613	0.9023864877000001	0.9009042464	0.9086705564
EYE_437	0.8835169519	0.9071410616000001	0.9066667916000001	0.9067706235	0.9200396435	1.0	0.9274706538	0.9030279893000001	0.9041935615000001	0.9026852659	0.9023968004	0.9044871014	0.8977981382	0.8978684004	0.8898444551	0.8941015648	0.9040311777000001	0.9221428259000001	0.8935664009000001	0.8944977657000001	0.9244880226000001	0.9255766967	0.878949127	0.8993423456	0.9138120689	0.9227755762000001	0.9231319618	0.9297022599
YSMAA1_1_C6	0.8517940163000001	0.921559231	0.9201059438	0.8819663391	0.91026518	0.9055105307	1.0	0.888195774	0.8902252165000001	0.8877697161	0.8860994912	0.8900160964	0.8838601467	0.8852071149	0.8797715548	0.8895153807	0.8889787041	0.8987334746000001	0.8860252242000001	0.8909979838000001	0.9166447123	0.910384398	0.8790249764	0.8983832472000001	0.8997204435	0.9092610124	0.915797678	0.9256306243
EYE_346	0.8961419651	0.9426599198000001	0.9416445821	0.9567500083	0.9362010137000001	0.9159762481	0.9325711399000001	1.0	0.9978981018	0.9972732468000001	0.9955763242000001	0.9962765429	0.9259296220000001	0.9271967238000001	0.9335554212	0.9322357306	0.9348999569	0.9162441614	0.9166839202	0.9365538146	0.9486525657	0.9451262133	0.9213655713000001	0.9396341968	0.9393070693000001	0.9323023984000001	0.9300563984	0.9283180674
YSMAA5_1_D11	0.8788082372	0.9349765202	0.9346669401000001	0.9411588749	0.9180629935	0.8969206832000001	0.9241689584	0.9898449687	1.0	0.9887079655000001	0.9868372172000001	0.9873836059000001	0.9143822068	0.9165468551	0.9260224184	0.9230343674	0.9142181695	0.9008724530000001	0.8987906274	0.9311513967	0.9378978305000001	0.9319169039	0.9118138981	0.9341052733	0.9195662662	0.9209633972000001	0.9174434313000001	0.917664962
MSK194	0.8896328051	0.9392543906	0.9372901456	0.9542006958	0.9301790867	0.9097886653	0.9267394025000001	0.989432854	0.9897945375	0.9999987698	0.9923111495	0.9931087396	0.9191657823	0.9203471998	0.9285367482	0.9306125328	0.9289558418	0.9092871472	0.9080429887	0.9342658645	0.9426165712000001	0.9399195275000001	0.9140542345	0.9333317204	0.9308393026	0.9250728698	0.9228937471	0.9201770199
KPL3804	0.8831615904000001	0.9365327245	0.9366035604	0.9476266740000001	0.9266332137000001	0.9039291088	0.9246209062	0.9853430897000001	0.9848940557	0.98971822	0.9999983716	0.9886491689	0.9165908099000001	0.9183319872000001	0.9287424116	0.9268233306	0.9231577799	0.9072221607000001	0.9035761510000001	0.9301456938	0.9408634806	0.9364032659	0.9114157233	0.9320273215	0.9278842396	0.9211108687	0.9184805796000001	0.9165106107000001
MSK163	0.88554074	0.9390974923000001	0.9384027837000001	0.9487616688	0.9272531004000001	0.9044139956	0.9256412458000001	0.9854307479000001	0.9854634593	0.9895842789	0.9882422934	0.999847892	0.9183527353000001	0.9195233948	0.9301795447000001	0.9262676693	0.925157117	0.9064629564000001	0.9039339557	0.9308722088	0.9418673307000001	0.9397447692	0.9106933592	0.9324456275	0.9287574163000001	0.9220021017000001	0.9195957688	0.9174650295000001
CTNIH2	0.8829511886	0.9231806709	0.92291223	0.9012564992000001	0.9068497659	0.8982722830000001	0.910857235	0.9160997769	0.9158610722	0.9174004324	0.9168733268	0.9193825777	0.9999983706000001	0.9986720523	0.9196966414000001	0.9283242278	0.9003929259000001	0.9051495041000001	0.9050370766	0.9192831852000001	0.9354764073	0.9331854939	0.9100779823	0.9304355017	0.9107224035	0.9107729144000001	0.9023693682	0.9130287961
CTNIH24	0.8835060074000001	0.9234822271	0.9222631601	0.9007690843	0.9048445527000001	0.8982903418	0.9117553062	0.9150137318	0.9152878391	0.9171789767	0.9163586851000001	0.9190774237	0.9942193809000001	0.9999695436	0.9201519245	0.9282736233000001	0.8996629089	0.9034459962	0.9027446875	0.9208089699	0.9364192811000001	0.9336883599	0.9114020123000001	0.9303353165	0.9099311727	0.9131895982	0.9020705865	0.913427564
KPL4035	0.8788232042	0.9277442341000001	0.9281262895	0.9136143010000001	0.9071010110000001	0.8907492852000001	0.9138972748	0.9246519096	0.9253438498000001	0.9273108031	0.9282437195000001	0.9321658014	0.9193112891	0.9203538885	1.0	0.9809612465	0.9110854777	0.8968854127	0.8994749898000001	0.9285478960000001	0.9268944973000001	0.9218992352000001	0.9121553958	0.9325609046000001	0.9016755799	0.9163045907	0.9030973805	0.9120375580000001
P5_C4	0.8616044030000001	0.9110930887	0.9107077100000001	0.8942846781	0.891784698	0.8753624632	0.8977132336	0.9036716589	0.9036186544	0.9064207204	0.9057802823000001	0.9080726281	0.9090354772	0.9102828768000001	0.9580315795000001	1.0	0.8944588358000001	0.8872932624000001	0.8853125673000001	0.913345183	0.9149771642000001	0.9106590893000001	0.8971780075	0.9180697587000001	0.8839683248	0.8945058624000001	0.8863618973	0.8945062609000001
KPL2825	0.8784889495	0.9130021123000001	0.9124271293	0.9112151672000001	0.9199262206000001	0.9034980767	0.9149470866	0.9174317912000001	0.9174674490000001	0.9194087765000001	0.9177968790000001	0.9194606424	0.8961339180000001	0.8969799818	0.9049272276	0.9091648402	0.9999923011	0.9170140269	0.9011624868	0.9074796011	0.9188398715	0.91776892	0.8869860558	0.9070845282000001	0.9175253931	0.9153794381	0.9059925062	0.9118910458
CTNIH14	0.8807700182	0.926258388	0.926524385	0.9086565382	0.9204113868	0.9294610415000001	0.9346851903000001	0.9093106360000001	0.9101045159000001	0.9107084566	0.9077479549	0.9099906346000001	0.9070116323	0.9078067456000001	0.9014779074	0.9115060365000001	0.9235918397	1.0	0.9177497720000001	0.9068870619	0.9230857464000001	0.9219716012	0.8971006735	0.9182776549	0.9139357775	0.9229640538	0.9247327079000001	0.9345602087
YSMAA1_2_G9	0.9016952827	0.9419504894	0.9408293473	0.9236663580000001	0.9184817999	0.9160922365	0.9394475707000001	0.9236680129	0.9248023935	0.9217608302	0.9207331856000001	0.9229870535	0.9240138707000001	0.9235120459	0.9169179928000001	0.9180325156	0.9197882820000001	0.9328853729000001	1.0	0.9125753254000001	0.9282253934	0.9245454824	0.9008078842	0.9190088607	0.9131656833	0.9219035586000001	0.9222920281	0.9291595406000001
KPL4072	0.8874554673	0.9431333522	0.9424722023000001	0.9168723487	0.9164268178	0.8969606708000001	0.9185899499	0.9281519166000001	0.9284345082000001	0.9306143834	0.9293076017	0.9306887066	0.9184502876	0.9204659984	0.9290401198	0.9333386149	0.9108550273	0.901647525	0.8941584407000001	0.9999955079	0.9335530088	0.9297731427	0.9144964562000001	0.9339781212	0.9128254091	0.9172909272	0.9079543803000001	0.9125505765
KPL3649	0.8732530445000001	0.9339418923	0.9332778566000001	0.9071341103	0.9311966765	0.9099776274	0.9315967029000001	0.9234790173	0.9231239287	0.9250915607	0.9249447105	0.9266924684000001	0.9201315553	0.9214359541	0.9130245681	0.9229690539000001	0.9097966727000001	0.9042300075	0.8907787714000001	0.9214419725	0.999989568	0.9855513061000001	0.9164570909	0.9331097412	0.9135899012	0.9266868512	0.9226613105	0.9254201681
MSK071	0.8692984798000001	0.9298687016	0.9282990974	0.8956370664000001	0.9237492778	0.9038967146	0.9262142615000001	0.9210464027	0.9221936204000001	0.9227801797	0.9209412046000001	0.9249997011000001	0.9170588352000001	0.9182785758	0.9073359766	0.9160267777000001	0.9025510550000001	0.8978537985	0.8859759718	0.9152393855000001	0.9856340778	0.9981418979000001	0.9139439342000001	0.9291514415000001	0.9054734913	0.924283238	0.9149162200000001	0.9228646570000001
P7_C1	0.8984495947000001	0.9463108928	0.9453055957000001	0.9208183909000001	0.9317026569	0.9143657575	0.9382489515	0.9406591668000001	0.9415495728000001	0.9428404325	0.9424961755000001	0.9444684726	0.9450907993000001	0.9470518571000001	0.9441017369	0.9497434723	0.9247388413000001	0.9298123654	0.9142009137	0.9457177051000001	0.9584131708	0.9548981694	0.9999800189	0.9993206440000001	0.9274704187	0.9415275104	0.9243621151	0.9351165041
P7_F1	0.8966455871000001	0.9446614005	0.9436226398	0.918064477	0.931046704	0.912653625	0.9391397417	0.9396394093	0.9399689243	0.9415318380000001	0.9398311422000001	0.9431694529	0.9427855721	0.9452606696	0.9430466110000001	0.947129858	0.9240733532000001	0.9244186384	0.9139911902000001	0.945814703	0.9554868397	0.9529689965	0.9757092665	1.0	0.9265692011000001	0.9374730765	0.9232927264	0.9334363102000001
YSMAA1_2_B7	0.9068045985000001	0.9378882917	0.9374449453	0.9534278530000001	0.9615194441	0.9370996586	0.9456902741000001	0.9468329195	0.9483711279	0.9450491462	0.9452726892000001	0.9475795863	0.9296629072	0.9301511284	0.9202229945	0.9201785352	0.9417774409	0.9296591676	0.9152522795	0.9339010826	0.9450632735000001	0.9426711974	0.9145139228	0.9341952619	1.0	0.9435549816000001	0.9375010388	0.9366600518
