Genome1,Genome2,DDH,CI,Distance,Prob_DDH_70,styled_Genome1,styled_Genome2
CT01,CT01,100,[100 - NaN%],0,98.3,CT01,CT01
CT01,CTNIH2,77.7,[74.7 - 80.4%],0.0261,88.61,CT01,CTNIH2
CT01,CTNIH6,80.3,[77.4 - 82.9%],0.023,90.83,CT01,CTNIH6
CT01,CTNIH14,83.4,[80.5 - 85.8%],0.0195,92.84,CT01,CTNIH14
CT01,CTNIH24,77.7,[74.7 - 80.4%],0.0262,88.58,CT01,CTNIH24
CT01,CTNIH27,80.3,[77.4 - 82.9%],0.023,90.83,CT01,CTNIH27
CT01,EYE_346,81.9,[79 - 84.5%],0.0211,91.95,CT01,EYE_346
CT01,EYE_437,90.6,[88.4 - 92.5%],0.0115,96,CT01,EYE_437
CT01,FDAARGOS_1055,84.4,[81.7 - 86.8%],0.0183,93.43,CT01,FDAARGOS_1055
CT01,KPL2825,83.6,[80.8 - 86.1%],0.0192,92.98,CT01,KPL2825
CT01,KPL3649,81.2,[78.3 - 83.8%],0.0219,91.5,CT01,KPL3649
CT01,KPL3804,81.7,[78.8 - 84.2%],0.0214,91.79,CT01,KPL3804
CT01,KPL4035,75.8,[72.8 - 78.6%],0.0284,86.68,CT01,KPL4035
CT01,KPL4072,79.8,[76.9 - 82.5%],0.0236,90.44,CT01,KPL4072
CT01,LK1134,84.2,[81.4 - 86.6%],0.0186,93.29,CT01,LK1134
CT01,MSK071,80.9,[78 - 83.5%],0.0223,91.26,CT01,MSK071
CT01,MSK163,81.6,[78.7 - 84.1%],0.0215,91.73,CT01,MSK163
CT01,MSK185,81.7,[78.8 - 84.3%],0.0214,91.81,CT01,MSK185
CT01,MSK194,81.7,[78.8 - 84.3%],0.0213,91.82,CT01,MSK194
CT01,P5_C4,75.5,[72.5 - 78.2%],0.0289,86.28,CT01,P5_C4
CT01,P7_C1,79.1,[76.2 - 81.8%],0.0244,89.9,CT01,P7_C1
CT01,P7_F1,79.2,[76.2 - 81.9%],0.0243,89.93,CT01,P7_F1
CT01,SB,67.3,[64.3 - 70.1%],0.04,72.83,CT01,SB
CT01,YSMAA1_1_C6,85.7,[83 - 88%],0.0168,94.08,CT01,YSMAA1_1_C6
CT01,YSMAA1_2_B7,84.6,[81.9 - 87%],0.0181,93.53,CT01,YSMAA1_2_B7
CT01,YSMAA1_2_G9,81.3,[78.4 - 83.9%],0.0219,91.52,CT01,YSMAA1_2_G9
CT01,YSMAA3_1_H1,82.6,[79.7 - 85.1%],0.0204,92.38,CT01,YSMAA3_1_H1
CT01,YSMAA5_1_D11,81.6,[78.7 - 84.2%],0.0215,91.76,CT01,YSMAA5_1_D11
CTNIH2,CT01,77.7,[74.7 - 80.4%],0.0261,88.61,CTNIH2,CT01
CTNIH2,CTNIH2,100,[100 - NaN%],0,98.3,CTNIH2,CTNIH2
CTNIH2,CTNIH6,80.3,[77.3 - 82.9%],0.0231,90.78,CTNIH2,CTNIH6
CTNIH2,CTNIH14,78.7,[75.8 - 81.4%],0.0249,89.54,CTNIH2,CTNIH14
CTNIH2,CTNIH24,100,[99.9 - 100%],1e-4,98.29,CTNIH2,CTNIH24
CTNIH2,CTNIH27,80.1,[77.1 - 82.7%],0.0233,90.64,CTNIH2,CTNIH27
CTNIH2,EYE_346,80.6,[77.7 - 83.2%],0.0227,91.04,CTNIH2,EYE_346
CTNIH2,EYE_437,78.5,[75.6 - 81.2%],0.0251,89.37,CTNIH2,EYE_437
CTNIH2,FDAARGOS_1055,80.1,[77.2 - 82.7%],0.0232,90.66,CTNIH2,FDAARGOS_1055
CTNIH2,KPL2825,80,[77.1 - 82.7%],0.0233,90.6,CTNIH2,KPL2825
CTNIH2,KPL3649,79.7,[76.8 - 82.4%],0.0237,90.39,CTNIH2,KPL3649
CTNIH2,KPL3804,80.4,[77.5 - 83%],0.0229,90.89,CTNIH2,KPL3804
CTNIH2,KPL4035,84.8,[82.1 - 87.2%],0.0179,93.62,CTNIH2,KPL4035
CTNIH2,KPL4072,84,[81.2 - 86.4%],0.0188,93.19,CTNIH2,KPL4072
CTNIH2,LK1134,78,[75 - 80.7%],0.0258,88.87,CTNIH2,LK1134
CTNIH2,MSK071,79.6,[76.7 - 82.3%],0.0238,90.29,CTNIH2,MSK071
