Assembly Accession	ANI Best ANI match ANI	ANI Best ANI match Assembly	ANI Best ANI match Assembly Coverage	ANI Best ANI match Type Category	ANI Best ANI match Organism	ANI Best ANI match Type Assembly Coverage	ANI Best match status	ANI Category	ANI Check status	ANI Comment	ANI Declared ANI match ANI	ANI Declared ANI match Assembly	ANI Declared ANI match Assembly Coverage	ANI Declared ANI match Type Category	ANI Declared ANI match Organism	ANI Declared ANI match Type Assembly Coverage	ANI Submitted organism	ANI Submitted species	Annotation BUSCO Complete 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Lineage 	Annotation BUSCO Missing 	Annotation BUSCO Single Copy 	Annotation BUSCO Total Count 	Annotation BUSCO Version 	Annotation Count Gene Non-coding	Annotation Count Gene Other	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Annotation Count Gene Total	Annotation Method	Annotation Name	Annotation Pipeline	Annotation Provider	Annotation Release Date	Annotation Release Version	Annotation Report URL	Annotation Software Version	Annotation Status	Assembly Assembly Method	Assembly Atypical Is Atypical	Assembly Atypical Warnings	Assembly BioProject Accession	Assembly BioProject Lineage Accession	Assembly BioProject Lineage Parent Accession	Assembly BioProject Lineage Parent Accessions	Assembly BioProject Lineage Title	Assembly BioSample Accession	Assembly BioSample Age 	Assembly BioSample Attribute Name	Assembly BioSample Attribute Value	Assembly BioSample Biomaterial provider 	Assembly BioSample BioProject Accession	Assembly BioSample BioProject Parent Accession	Assembly BioSample BioProject Parent Accessions	Assembly BioSample BioProject Title	Assembly BioSample Breed 	Assembly BioSample Collected by 	Assembly BioSample Collection date 	Assembly BioSample Cultivar 	Assembly BioSample Description Comment	Assembly BioSample Description Organism Common Name	Assembly BioSample Description Organism Infraspecific Names Breed	Assembly BioSample Description Organism Infraspecific Names Cultivar	Assembly BioSample Description Organism Infraspecific Names Ecotype	Assembly BioSample Description Organism Infraspecific Names Isolate	Assembly BioSample Description Organism Infraspecific Names Sex	Assembly BioSample Description Organism Infraspecific Names Strain	Assembly BioSample Description Organism Name	Assembly BioSample Description Organism Pangolin Classification	Assembly BioSample Description Organism Taxonomic ID	Assembly BioSample Description Title	Assembly BioSample Development stage 	Assembly BioSample Ecotype 	Assembly BioSample Geographic location 	Assembly BioSample Host 	Assembly BioSample Host disease 	Assembly BioSample Identified by 	Assembly BioSample Sample Identifiers Database	Assembly BioSample Sample Identifiers Label	Assembly BioSample Sample Identifiers Value	Assembly BioSample IFSAC category 	Assembly BioSample Isolate 	Assembly BioSample Isolate name alias 	Assembly BioSample Isolation source 	Assembly BioSample Last updated	Assembly BioSample Latitude / Longitude 	Assembly BioSample Models	Assembly BioSample Owner Contact Lab	Assembly BioSample Owner Name	Assembly BioSample Package	Assembly BioSample Project name  	Assembly BioSample Publication date	Assembly BioSample Sample name 	Assembly BioSample Serotype 	Assembly BioSample Serovar 	Assembly BioSample Sex 	Assembly BioSample Source type 	Assembly BioSample Status Status	Assembly BioSample Status When	Assembly BioSample Strain 	Assembly BioSample Sub-species 	Assembly BioSample Submission date	Assembly BioSample Tissue 	Assembly Blast URL	Assembly Description	Assembly Level	Assembly Linked Assembly Accession	Assembly Linked Assembly Type	Assembly Name	Assembly Notes 	Assembly Paired Assembly Accession	Assembly Paired Assembly Changed	Assembly Paired Assembly Manual Diff	Assembly Paired Assembly Name	Assembly Paired Assembly Only Genbank	Assembly Paired Assembly Only RefSeq	Assembly Paired Assembly Status	Assembly Refseq Category	Assembly Release Date	Assembly Sequencing Tech	Assembly Status	Assembly Submitter	Assembly Suppression Reason	Assembly Synonym	Assembly Type	Assembly Stats Contig L50	Assembly Stats Contig N50	Assembly Stats Gaps Between Scaffolds Count	Assembly Stats GC Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Number of Component Sequences	Assembly Stats Number of Contigs	Assembly Stats Number of Organelles	Assembly Stats Number of Scaffolds	Assembly Stats Scaffold L50	Assembly Stats Scaffold N50	Assembly Stats Total Number of Chromosomes	Assembly Stats Total Sequence Length	Assembly Stats Total Ungapped Length	CheckM completeness	CheckM completeness percentile	CheckM contamination	CheckM marker set	CheckM marker set rank	CheckM species tax id	CheckM version	Current Accession	Organelle Assembly Name	Organelle BioProject Accessions	Organelle Description	Organelle Infraspecific Name	Organelle Submitter	Organelle Total Seq Length	Organism Common Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Organism Infraspecific Names Strain	Organism Name	Organism Pangolin Classification	Organism Taxonomic ID	Source Database	Type Material Display Text	Type Material Label	WGS contigs URL	WGS project accession	WGS URL
GCF_027570035.1	88.39	GCA_027570155.1	83.99	type	Corynebacterium marquesiae	85.52	below_threshold_mismatch	type	OK	Assembly is the type_strain, mismatch is within genus and expected							Corynebacterium curieae	Corynebacterium curieae									57		2288	37	2382	Best-placed reference protein set; GeneMarkS-2+	GCF_027570035.1-RS_2024_03_29	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-03-29			6.7		Unicycler v. 0.4.8			PRJNA548360	PRJNA548360			Female Urinary Microbiota in Health and Disease	SAMN25350282		strain	c8Ua_181		PRJNA548360						2017-02										Corynebacterium curieae		2913500	Microbe sample from Corynebacterium curieae			Portugal: Porto	Homo sapiens				Sample name	c8Ua_181				urine	2023-02-27T21:06:06.776		Microbe, viral or environmental		i4HB-UCIBIO-REQUIMTE. Faculty of Pharmacy, University of Porto	Microbe.1.0		2022-12-31T00:00:00.000						live	2022-12-31T00:52:41.123	c8Ua_181		2022-01-28T05:34:04.140				Contig			ASM2757003v1		GCA_027570035.1			NCBI Prokaryotic Genome Annotation Pipeline (PGAP)			current	reference genome	2023-01-04	Illumina NovaSeq	current	UCIBIO/REQUIMTE, Faculty of Pharmacy, University of Porto			haploid	2	360498		1463038	58.5	694.0x	30	30						2501310	2501310	99.9	100	0.5	Corynebacterium	genus	2913500	v1.2.2	GCF_027570035.1													c8Ua_181	Corynebacterium curieae		2913500	SOURCE_DATABASE_REFSEQ	assembly from type material	TYPE_MATERIAL	https://www.ncbi.nlm.nih.gov/Traces/wgs/JAKMUU01	JAKMUU01	https://www.ncbi.nlm.nih.gov/nuccore/JAKMUU000000000.1
GCF_027570035.1	88.39	GCA_027570155.1	83.99	type	Corynebacterium marquesiae	85.52	below_threshold_mismatch	type	OK	Assembly is the type_strain, mismatch is within genus and expected							Corynebacterium curieae	Corynebacterium curieae									57		2288	37	2382	Best-placed reference protein set; GeneMarkS-2+	GCF_027570035.1-RS_2024_03_29	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-03-29			6.7		Unicycler v. 0.4.8			PRJNA548360	PRJNA548360			Female Urinary Microbiota in Health and Disease	SAMN25350282		host	Homo sapiens		PRJNA548360						2017-02										Corynebacterium curieae		2913500	Microbe sample from Corynebacterium curieae			Portugal: Porto	Homo sapiens				Sample name	c8Ua_181				urine	2023-02-27T21:06:06.776		Microbe, viral or environmental		i4HB-UCIBIO-REQUIMTE. Faculty of Pharmacy, University of Porto	Microbe.1.0		2022-12-31T00:00:00.000						live	2022-12-31T00:52:41.123	c8Ua_181		2022-01-28T05:34:04.140				Contig			ASM2757003v1		GCA_027570035.1			NCBI Prokaryotic Genome Annotation Pipeline (PGAP)			current	reference genome	2023-01-04	Illumina NovaSeq	current	UCIBIO/REQUIMTE, Faculty of Pharmacy, University of Porto			haploid	2	360498		1463038	58.5	694.0x	30	30						2501310	2501310	99.9	100	0.5	Corynebacterium	genus	2913500	v1.2.2	GCF_027570035.1													c8Ua_181	Corynebacterium curieae		2913500	SOURCE_DATABASE_REFSEQ	assembly from type material	TYPE_MATERIAL	https://www.ncbi.nlm.nih.gov/Traces/wgs/JAKMUU01	JAKMUU01	https://www.ncbi.nlm.nih.gov/nuccore/JAKMUU000000000.1
GCF_027570035.1	88.39	GCA_027570155.1	83.99	type	Corynebacterium marquesiae	85.52	below_threshold_mismatch	type	OK	Assembly is the type_strain, mismatch is within genus and expected							Corynebacterium curieae	Corynebacterium curieae									57		2288	37	2382	Best-placed reference protein set; GeneMarkS-2+	GCF_027570035.1-RS_2024_03_29	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-03-29			6.7		Unicycler v. 0.4.8			PRJNA548360	PRJNA548360			Female Urinary Microbiota in Health and Disease	SAMN25350282		isolation_source	urine		PRJNA548360						2017-02										Corynebacterium curieae		2913500	Microbe sample from Corynebacterium curieae			Portugal: Porto	Homo sapiens				Sample name	c8Ua_181				urine	2023-02-27T21:06:06.776		Microbe, viral or environmental		i4HB-UCIBIO-REQUIMTE. Faculty of Pharmacy, University of Porto	Microbe.1.0		2022-12-31T00:00:00.000						live	2022-12-31T00:52:41.123	c8Ua_181		2022-01-28T05:34:04.140				Contig			ASM2757003v1		GCA_027570035.1			NCBI Prokaryotic Genome Annotation Pipeline (PGAP)			current	reference genome	2023-01-04	Illumina NovaSeq	current	UCIBIO/REQUIMTE, Faculty of Pharmacy, University of Porto			haploid	2	360498		1463038	58.5	694.0x	30	30						2501310	2501310	99.9	100	0.5	Corynebacterium	genus	2913500	v1.2.2	GCF_027570035.1													c8Ua_181	Corynebacterium curieae		2913500	SOURCE_DATABASE_REFSEQ	assembly from type material	TYPE_MATERIAL	https://www.ncbi.nlm.nih.gov/Traces/wgs/JAKMUU01	JAKMUU01	https://www.ncbi.nlm.nih.gov/nuccore/JAKMUU000000000.1
GCF_027570035.1	88.39	GCA_027570155.1	83.99	type	Corynebacterium marquesiae	85.52	below_threshold_mismatch	type	OK	Assembly is the type_strain, mismatch is within genus and expected							Corynebacterium curieae	Corynebacterium curieae									57		2288	37	2382	Best-placed reference protein set; GeneMarkS-2+	GCF_027570035.1-RS_2024_03_29	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-03-29			6.7		Unicycler v. 0.4.8			PRJNA548360	PRJNA548360			Female Urinary Microbiota in Health and Disease	SAMN25350282		collection_date	2017-02		PRJNA548360						2017-02										Corynebacterium curieae		2913500	Microbe sample from Corynebacterium curieae			Portugal: Porto	Homo sapiens				Sample name	c8Ua_181				urine	2023-02-27T21:06:06.776		Microbe, viral or environmental		i4HB-UCIBIO-REQUIMTE. Faculty of Pharmacy, University of Porto	Microbe.1.0		2022-12-31T00:00:00.000						live	2022-12-31T00:52:41.123	c8Ua_181		2022-01-28T05:34:04.140				Contig			ASM2757003v1		GCA_027570035.1			NCBI Prokaryotic Genome Annotation Pipeline (PGAP)			current	reference genome	2023-01-04	Illumina NovaSeq	current	UCIBIO/REQUIMTE, Faculty of Pharmacy, University of Porto			haploid	2	360498		1463038	58.5	694.0x	30	30						2501310	2501310	99.9	100	0.5	Corynebacterium	genus	2913500	v1.2.2	GCF_027570035.1													c8Ua_181	Corynebacterium curieae		2913500	SOURCE_DATABASE_REFSEQ	assembly from type material	TYPE_MATERIAL	https://www.ncbi.nlm.nih.gov/Traces/wgs/JAKMUU01	JAKMUU01	https://www.ncbi.nlm.nih.gov/nuccore/JAKMUU000000000.1
GCF_027570035.1	88.39	GCA_027570155.1	83.99	type	Corynebacterium marquesiae	85.52	below_threshold_mismatch	type	OK	Assembly is the type_strain, mismatch is within genus and expected							Corynebacterium curieae	Corynebacterium curieae									57		2288	37	2382	Best-placed reference protein set; GeneMarkS-2+	GCF_027570035.1-RS_2024_03_29	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-03-29			6.7		Unicycler v. 0.4.8			PRJNA548360	PRJNA548360			Female Urinary Microbiota in Health and Disease	SAMN25350282		geo_loc_name	Portugal: Porto		PRJNA548360						2017-02										Corynebacterium curieae		2913500	Microbe sample from Corynebacterium curieae			Portugal: Porto	Homo sapiens				Sample name	c8Ua_181				urine	2023-02-27T21:06:06.776		Microbe, viral or environmental		i4HB-UCIBIO-REQUIMTE. Faculty of Pharmacy, University of Porto	Microbe.1.0		2022-12-31T00:00:00.000						live	2022-12-31T00:52:41.123	c8Ua_181		2022-01-28T05:34:04.140				Contig			ASM2757003v1		GCA_027570035.1			NCBI Prokaryotic Genome Annotation Pipeline (PGAP)			current	reference genome	2023-01-04	Illumina NovaSeq	current	UCIBIO/REQUIMTE, Faculty of Pharmacy, University of Porto			haploid	2	360498		1463038	58.5	694.0x	30	30						2501310	2501310	99.9	100	0.5	Corynebacterium	genus	2913500	v1.2.2	GCF_027570035.1													c8Ua_181	Corynebacterium curieae		2913500	SOURCE_DATABASE_REFSEQ	assembly from type material	TYPE_MATERIAL	https://www.ncbi.nlm.nih.gov/Traces/wgs/JAKMUU01	JAKMUU01	https://www.ncbi.nlm.nih.gov/nuccore/JAKMUU000000000.1
GCF_027570035.1	88.39	GCA_027570155.1	83.99	type	Corynebacterium marquesiae	85.52	below_threshold_mismatch	type	OK	Assembly is the type_strain, mismatch is within genus and expected							Corynebacterium curieae	Corynebacterium curieae									57		2288	37	2382	Best-placed reference protein set; GeneMarkS-2+	GCF_027570035.1-RS_2024_03_29	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-03-29			6.7		Unicycler v. 0.4.8			PRJNA548360	PRJNA548360			Female Urinary Microbiota in Health and Disease	SAMN25350282		sample_type	cultured urine		PRJNA548360						2017-02										Corynebacterium curieae		2913500	Microbe sample from Corynebacterium curieae			Portugal: Porto	Homo sapiens				Sample name	c8Ua_181				urine	2023-02-27T21:06:06.776		Microbe, viral or environmental		i4HB-UCIBIO-REQUIMTE. Faculty of Pharmacy, University of Porto	Microbe.1.0		2022-12-31T00:00:00.000						live	2022-12-31T00:52:41.123	c8Ua_181		2022-01-28T05:34:04.140				Contig			ASM2757003v1		GCA_027570035.1			NCBI Prokaryotic Genome Annotation Pipeline (PGAP)			current	reference genome	2023-01-04	Illumina NovaSeq	current	UCIBIO/REQUIMTE, Faculty of Pharmacy, University of Porto			haploid	2	360498		1463038	58.5	694.0x	30	30						2501310	2501310	99.9	100	0.5	Corynebacterium	genus	2913500	v1.2.2	GCF_027570035.1													c8Ua_181	Corynebacterium curieae		2913500	SOURCE_DATABASE_REFSEQ	assembly from type material	TYPE_MATERIAL	https://www.ncbi.nlm.nih.gov/Traces/wgs/JAKMUU01	JAKMUU01	https://www.ncbi.nlm.nih.gov/nuccore/JAKMUU000000000.1
GCF_027570035.1	88.39	GCA_027570155.1	83.99	type	Corynebacterium marquesiae	85.52	below_threshold_mismatch	type	OK	Assembly is the type_strain, mismatch is within genus and expected							Corynebacterium curieae	Corynebacterium curieae									57		2288	37	2382	Best-placed reference protein set; GeneMarkS-2+	GCF_027570035.1-RS_2024_03_29	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-03-29			6.7		Unicycler v. 0.4.8			PRJNA548360	PRJNA548360			Female Urinary Microbiota in Health and Disease	SAMN25350282		type-material	type strain of Corynebacterium curieae		PRJNA548360						2017-02										Corynebacterium curieae		2913500	Microbe sample from Corynebacterium curieae			Portugal: Porto	Homo sapiens				Sample name	c8Ua_181				urine	2023-02-27T21:06:06.776		Microbe, viral or environmental		i4HB-UCIBIO-REQUIMTE. Faculty of Pharmacy, University of Porto	Microbe.1.0		2022-12-31T00:00:00.000						live	2022-12-31T00:52:41.123	c8Ua_181		2022-01-28T05:34:04.140				Contig			ASM2757003v1		GCA_027570035.1			NCBI Prokaryotic Genome Annotation Pipeline (PGAP)			current	reference genome	2023-01-04	Illumina NovaSeq	current	UCIBIO/REQUIMTE, Faculty of Pharmacy, University of Porto			haploid	2	360498		1463038	58.5	694.0x	30	30						2501310	2501310	99.9	100	0.5	Corynebacterium	genus	2913500	v1.2.2	GCF_027570035.1													c8Ua_181	Corynebacterium curieae		2913500	SOURCE_DATABASE_REFSEQ	assembly from type material	TYPE_MATERIAL	https://www.ncbi.nlm.nih.gov/Traces/wgs/JAKMUU01	JAKMUU01	https://www.ncbi.nlm.nih.gov/nuccore/JAKMUU000000000.1
GCF_032821675.1	99.94	GCA_027570035.1	97.21	type	Corynebacterium curieae	94.12	species_match	category_na	OK	na	99.94	GCA_027570035.1	97.21	type	Corynebacterium curieae	94.12	Corynebacterium curieae	Corynebacterium curieae									59		2227	31	2317	Best-placed reference protein set; GeneMarkS-2+	GCF_032821675.1-RS_2024_10_23	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-10-23			6.8		SPAdes v. 3.14.1			PRJNA854648	PRJNA854648			Genome Sequencing of Corynebacterium tuberculostearicum and other closely related species from human skin	SAMN35725399		isolation_source	skin		PRJNA854648						2020		Keywords: GSC:MIxS;MIGS:6.0								Corynebacterium curieae		2913500	MIGS Cultured Bacterial/Archaeal sample from Corynebacterium curieae			USA	Homo sapiens				Sample name	acvth				skin	2023-09-22T16:09:20.953	38.999838 N 77.106017 W	MIGS.ba,MIGS/MIMS/MIMARKS.human-skin		NHGRI/NIH	MIGS.ba.human-skin.6.0		2023-06-13T00:00:00.000						live	2023-06-13T18:42:06.603	CTNIH19		2023-06-13T18:42:06.600				Contig			ASM3282167v1		GCA_032821675.1			NCBI Prokaryotic Genome Annotation Pipeline (PGAP)			current		2023-10-18	Illumina NovaSeq	current	NHGRI/NIH			haploid	6	158242		1419180	58.5	101.0x	28	28						2421743	2421743	99.9	100	0.5	Corynebacterium	genus	2913500	v1.2.3	GCF_032821675.1													CTNIH19	Corynebacterium curieae		2913500	SOURCE_DATABASE_REFSEQ			https://www.ncbi.nlm.nih.gov/Traces/wgs/JAVBID01	JAVBID01	https://www.ncbi.nlm.nih.gov/nuccore/JAVBID000000000.1
GCF_032821675.1	99.94	GCA_027570035.1	97.21	type	Corynebacterium curieae	94.12	species_match	category_na	OK	na	99.94	GCA_027570035.1	97.21	type	Corynebacterium curieae	94.12	Corynebacterium curieae	Corynebacterium curieae									59		2227	31	2317	Best-placed reference protein set; GeneMarkS-2+	GCF_032821675.1-RS_2024_10_23	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-10-23			6.8		SPAdes v. 3.14.1			PRJNA854648	PRJNA854648			Genome Sequencing of Corynebacterium tuberculostearicum and other closely related species from human skin	SAMN35725399		isolation_source	skin		PRJNA854648						2020		Keywords: GSC:MIxS;MIGS:6.0								Corynebacterium curieae		2913500	MIGS Cultured Bacterial/Archaeal sample from Corynebacterium curieae			USA	Homo sapiens			SRA		SRS18956406				skin	2023-09-22T16:09:20.953	38.999838 N 77.106017 W	MIGS.ba,MIGS/MIMS/MIMARKS.human-skin		NHGRI/NIH	MIGS.ba.human-skin.6.0		2023-06-13T00:00:00.000						live	2023-06-13T18:42:06.603	CTNIH19		2023-06-13T18:42:06.600				Contig			ASM3282167v1		GCA_032821675.1			NCBI Prokaryotic Genome Annotation Pipeline (PGAP)			current		2023-10-18	Illumina NovaSeq	current	NHGRI/NIH			haploid	6	158242		1419180	58.5	101.0x	28	28						2421743	2421743	99.9	100	0.5	Corynebacterium	genus	2913500	v1.2.3	GCF_032821675.1													CTNIH19	Corynebacterium curieae		2913500	SOURCE_DATABASE_REFSEQ			https://www.ncbi.nlm.nih.gov/Traces/wgs/JAVBID01	JAVBID01	https://www.ncbi.nlm.nih.gov/nuccore/JAVBID000000000.1
GCF_032821675.1	99.94	GCA_027570035.1	97.21	type	Corynebacterium curieae	94.12	species_match	category_na	OK	na	99.94	GCA_027570035.1	97.21	type	Corynebacterium curieae	94.12	Corynebacterium curieae	Corynebacterium curieae									59		2227	31	2317	Best-placed reference protein set; GeneMarkS-2+	GCF_032821675.1-RS_2024_10_23	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI RefSeq	2024-10-23			6.8		SPAdes v. 3.14.1			PRJNA854648	PRJNA854648			Genome Sequencing of Corynebacterium tuberculostearicum and other closely related species from human skin	SAMN35725399		collection_date	2020		PRJNA854648						2020		Keywords: GSC:MIxS;MIGS:6.0								Corynebacterium curieae		2913500	MIGS Cultured Bacterial/Archaeal sample from Corynebacterium curieae			USA	Homo sapiens				Sample name	acvth				skin	2023-09-22T16:09:20.953	38.999838 N 77.106017 W	MIGS.ba,MIGS/MIMS/MIMARKS.human-skin		NHGRI/NIH	MIGS.ba.human-skin.6.0		2023-06-13T00:00:00.000						live	2023-06-13T18:42:06.603	CTNIH19		2023-06-13T18:42:06.600				Contig			ASM3282167v1		GCA_032821675.1			NCBI Prokaryotic Genome Annotation Pipeline (PGAP)			current		2023-10-18	Illumina NovaSeq	current	NHGRI/NIH			haploid	6	158242		1419180	58.5	101.0x	28	28						2421743	2421743	99.9	100	0.5	Corynebacterium	genus	2913500	v1.2.3	GCF_032821675.1													CTNIH19	Corynebacterium curieae		2913500	SOURCE_DATABASE_REFSEQ			https://www.ncbi.nlm.nih.gov/Traces/wgs/JAVBID01	JAVBID01	https://www.ncbi.nlm.nih.gov/nuccore/JAVBID000000000.1
