,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
Cna_MSK185,Ccu_c8Ua_181,79.40,[75.4 - 82.9%],0.1354,90.4,31.50,[29.1 - 34%],0.1342,0.19,65.80,[62.4 - 69%],0.2514,54.22,0.16
Cna_MSK185,Ccu_CTNIH19,82.10,[78.2 - 85.4%],0.1218,92.93,31.50,[29.1 - 34%],0.1342,0.19,67.70,[64.3 - 71%],0.2397,64.13,0.05
Cna_MSK185,Cha_CTNIH20,80.20,[76.2 - 83.6%],0.1316,91.19,32.60,[30.2 - 35.1%],0.1288,0.29,67.10,[63.7 - 70.3%],0.2435,61.04,0.12
Cna_MSK185,Cha_CTNIH21,79.90,[75.9 - 83.3%],0.1330,90.9,32.60,[30.2 - 35.1%],0.1288,0.29,66.90,[63.5 - 70.1%],0.2447,60.02,0.20
Cna_MSK185,Cha_CTNIH22,77.90,[73.9 - 81.4%],0.1429,88.68,33.20,[30.7 - 35.7%],0.1263,0.35,65.80,[62.4 - 69.1%],0.2511,54.49,0.20
Cna_MSK185,Cha_CTNIH23,79.60,[75.6 - 83%],0.1344,90.6,32.50,[30.1 - 35%],0.1295,0.28,66.60,[63.2 - 69.8%],0.2465,58.49,0.10
Cna_MSK185,Cke_CTNIH24,91.60,[88.6 - 93.9%],0.0717,97.82,78.20,[75.2 - 80.9%],0.0255,89.08,92.10,[89.6 - 94%],0.0954,99.64,0.27
Cna_MSK185,Cke_CTNIH27,90.90,[87.8 - 93.3%],0.0758,97.6,81.60,[78.7 - 84.2%],0.0215,91.74,92.00,[89.6 - 94%],0.0957,99.64,0.36
Cna_MSK185,Cke_EYE_437,93.40,[90.7 - 95.3%],0.0615,98.3,81.40,[78.5 - 84%],0.0217,91.6,93.90,[91.8 - 95.5%],0.0819,99.78,0.04
Cna_MSK185,Cke_FDAARGOS_1055,92.50,[89.6 - 94.6%],0.0670,98.05,83.60,[80.8 - 86.1%],0.0192,92.98,93.50,[91.3 - 95.2%],0.0849,99.75,0.20
Cna_MSK185,Cke_LK1134,96.70,[94.8 - 97.9%],0.0398,98.99,83.70,[80.9 - 86.1%],0.0191,93.03,96.70,[95.2 - 97.7%],0.0581,99.9,0.00
Cna_MSK185,Cke_YSMAA5_1_D11,93.80,[91.1 - 95.6%],0.0593,98.38,79.70,[76.8 - 82.4%],0.0237,90.36,93.90,[91.8 - 95.6%],0.0816,99.78,0.20
Cna_MSK185,Cmq_c19Ua_121,82.40,[78.5 - 85.7%],0.1205,93.14,35.90,[33.5 - 38.4%],0.1145,0.87,70.90,[67.5 - 74.2%],0.2211,77.38,0.83
Cna_MSK185,Cmq_KPL4083,86.90,[83.3 - 89.8%],0.0973,95.99,36.60,[34.1 - 39.1%],0.1118,1.07,74.90,[71.4 - 78.1%],0.1983,88.4,0.84
Cna_MSK185,Cmq_MSK144,87.10,[83.5 - 89.9%],0.0966,96.07,35.80,[33.4 - 38.3%],0.1148,0.85,74.60,[71.1 - 77.8%],0.2002,87.67,0.92
Cna_MSK185,Cna_KPL2825,92.40,[89.5 - 94.5%],0.0677,98.02,83.10,[80.3 - 85.6%],0.0198,92.68,93.40,[91.1 - 95.1%],0.0861,99.74,0.07
Cna_MSK185,Cna_KPL3649,95.50,[93.3 - 97%],0.0481,98.77,80.90,[78 - 83.5%],0.0223,91.23,95.50,[93.6 - 96.8%],0.0694,99.86,0.15
Cna_MSK185,Cna_KPL3804,93.20,[90.5 - 95.2%],0.0628,98.24,80.00,[77.1 - 82.7%],0.0233,90.6,93.60,[91.3 - 95.2%],0.0847,99.75,0.15
Cna_MSK185,Cna_KPL4035,92.60,[89.7 - 94.7%],0.0664,98.08,76.20,[73.2 - 78.9%],0.0280,87.09,92.50,[90.1 - 94.3%],0.0925,99.68,0.24
Cna_MSK185,Cna_KPL4072,93.00,[90.2 - 95%],0.0641,98.19,79.10,[76.1 - 81.7%],0.0245,89.83,93.20,[91 - 95%],0.0870,99.73,0.19
Cna_MSK185,Cna_MSK071,95.40,[93.2 - 96.9%],0.0485,98.76,80.60,[77.7 - 83.3%],0.0226,91.07,95.40,[93.5 - 96.7%],0.0700,99.85,0.15
Cna_MSK185,Cna_MSK185,100.00,[100 - 100%],0.0000,99.62,100.00,[100 - NaN%],0.0000,98.3,100.00,[100 - 100%],0.0000,99.99,0.00
Cna_MSK185,Cna_MSK194,93.60,[91 - 95.5%],0.0600,98.36,80.00,[77.1 - 82.7%],0.0233,90.6,93.90,[91.8 - 95.5%],0.0819,99.78,0.14
Cna_MSK185,Ctu_DSM_44922,83.50,[79.7 - 86.7%],0.1149,93.97,36.30,[33.9 - 38.8%],0.1128,0.99,72.00,[68.6 - 75.3%],0.2147,81.08,1.09
Cna_MSK185,Ctu_KPL3807,82.40,[78.6 - 85.7%],0.1201,93.21,35.30,[32.9 - 37.8%],0.1169,0.72,70.60,[67.2 - 73.8%],0.2229,76.27,1.27
Cna_MSK185,Ctu_MSK207,87.10,[83.6 - 90%],0.0961,96.11,35.60,[33.1 - 38.1%],0.1158,0.79,74.50,[71 - 77.7%],0.2007,87.48,1.36
Cna_MSK185,Ctu_SK141,86.80,[83.2 - 89.7%],0.0977,95.96,36.50,[34.1 - 39%],0.1120,1.05,74.80,[71.4 - 78%],0.1988,88.21,1.36
Cna_MSK185,Cyo_c21Ua_68,90.00,[86.8 - 92.6%],0.0807,97.3,40.60,[38.1 - 43.1%],0.0975,3.15,79.90,[76.4 - 82.9%],0.1703,95.31,0.04
Cna_MSK185,Cyo_KPL2619,89.90,[86.6 - 92.4%],0.0817,97.24,40.60,[38.1 - 43.1%],0.0976,3.12,79.70,[76.3 - 82.7%],0.1713,95.15,0.01
Cna_MSK185,Cyo_MSK136,86.30,[82.6 - 89.2%],0.1007,95.66,40.60,[38.1 - 43.1%],0.0975,3.13,76.70,[73.2 - 79.8%],0.1884,91.5,0.12
